summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria2
"(15,15,15,0.4,0.4,W/T,wins)",15,15,15,0.4,0.4,W/T,wins,58.86075949367088,86.57534246575342,59.770114942528735,71.5068493150685,54.54545454545455,15.068493150684931,0.13972602739726037,220.9321366713903
"(15,15,15,0.4,0.4,W-L,wins)",15,15,15,0.4,0.4,W-L,wins,58.97435897435897,85.47945205479452,59.92217898832685,70.41095890410959,54.54545454545455,15.068493150684931,0.13972602739726026,220.2164063749267
"(15,15,15,1.2,1.2,W/T,wins)",15,15,15,1.2,1.2,W/T,wins,58.064516129032256,16.986301369863014,85.71428571428571,1.917808219178082,54.54545454545455,15.068493150684931,0.0136986301369863,216.20352250489236
"(7,7,7,0.8,0.8,W/T,earnings)",7,7,7,0.8,0.8,W/T,earnings,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,1.6,1.6,T/L,earnings)",7,7,7,1.6,1.6,T/L,earnings,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,0.8,0.8,W/T,wins)",7,7,7,0.8,0.8,W/T,wins,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,1.2,1.2,T/L,earnings)",7,7,7,1.2,1.2,T/L,earnings,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,1.6,1.6,W/L,earnings)",7,7,7,1.6,1.6,W/L,earnings,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,1.6,1.6,W-L,earnings)",7,7,7,1.6,1.6,W-L,earnings,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,0.4,0.4,W-L,wins)",7,7,7,0.4,0.4,W-L,wins,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,0.8,0.8,W-L,earnings)",7,7,7,0.8,0.8,W-L,earnings,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,1.6,1.6,W/T,earnings)",7,7,7,1.6,1.6,W/T,earnings,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,1.2,1.2,W/L,wins)",7,7,7,1.2,1.2,W/L,wins,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,1.6,1.6,W/L,wins)",7,7,7,1.6,1.6,W/L,wins,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,0.8,0.8,W/L,earnings)",7,7,7,0.8,0.8,W/L,earnings,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,0.8,0.8,W-L,wins)",7,7,7,0.8,0.8,W-L,wins,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,1.2,1.2,W/T,earnings)",7,7,7,1.2,1.2,W/T,earnings,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,0.4,0.4,T/L,wins)",7,7,7,0.4,0.4,T/L,wins,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,1.2,1.2,W-L,wins)",7,7,7,1.2,1.2,W-L,wins,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,1.2,1.2,W/T,wins)",7,7,7,1.2,1.2,W/T,wins,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,0.4,0.4,T/L,earnings)",7,7,7,0.4,0.4,T/L,earnings,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,0.4,0.4,W/T,earnings)",7,7,7,0.4,0.4,W/T,earnings,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,1.2,1.2,W/L,earnings)",7,7,7,1.2,1.2,W/L,earnings,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,1.6,1.6,T/L,wins)",7,7,7,1.6,1.6,T/L,wins,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,1.2,1.2,W-L,earnings)",7,7,7,1.2,1.2,W-L,earnings,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,0.4,0.4,W/L,wins)",7,7,7,0.4,0.4,W/L,wins,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,0.4,0.4,W-L,earnings)",7,7,7,0.4,0.4,W-L,earnings,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,1.6,1.6,W-L,wins)",7,7,7,1.6,1.6,W-L,wins,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,0.4,0.4,W/L,earnings)",7,7,7,0.4,0.4,W/L,earnings,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,0.8,0.8,T/L,earnings)",7,7,7,0.8,0.8,T/L,earnings,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,1.2,1.2,T/L,wins)",7,7,7,1.2,1.2,T/L,wins,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,1.6,1.6,W/T,wins)",7,7,7,1.6,1.6,W/T,wins,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,0.8,0.8,W/L,wins)",7,7,7,0.8,0.8,W/L,wins,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
"(7,7,7,0.8,0.8,T/L,wins)",7,7,7,0.8,0.8,T/L,wins,80.95238095238095,5.753424657534247,80.95238095238095,5.753424657534247,,0.0,0.03561643835616439,208.13437703848663
