summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria2
"(7,7,7,1.6,1.6,T/L,wins)",7,7,7,1.6,1.6,T/L,wins,54.54545454545455,6.027397260273973,100.0,0.273972602739726,52.38095238095238,5.753424657534247,0.0027397260273972603,250.27397260273972
"(7,7,7,1.6,1.6,W/L,wins)",7,7,7,1.6,1.6,W/L,wins,54.54545454545455,6.027397260273973,100.0,0.273972602739726,52.38095238095238,5.753424657534247,0.0027397260273972603,250.27397260273972
"(60,60,60,1.2,1.2,W-L,wins)",60,60,60,1.2,1.2,W-L,wins,45.91836734693877,26.84931506849315,85.71428571428571,1.917808219178082,42.85714285714285,24.931506849315067,0.0136986301369863,216.20352250489236
"(15,15,15,1.6,1.6,W/T,wins)",15,15,15,1.6,1.6,W/T,wins,61.11111111111112,9.863013698630136,84.61538461538461,3.5616438356164384,47.82608695652174,6.301369863013699,0.024657534246575342,215.100105374078
"(7,7,7,0.4,0.4,W-L,wins)",7,7,7,0.4,0.4,W-L,wins,56.47482014388489,76.16438356164383,57.91666666666666,65.75342465753425,47.36842105263158,10.41095890410959,0.10410958904109582,210.54509132420088
"(7,7,7,0.4,0.4,W/T,wins)",7,7,7,0.4,0.4,W/T,wins,55.88235294117647,74.52054794520548,57.4468085106383,64.38356164383562,45.94594594594594,10.136986301369864,0.09589041095890417,208.00058292043138
"(15,15,15,1.6,1.6,W-L,wins)",15,15,15,1.6,1.6,W-L,wins,63.888888888888886,9.863013698630136,80.0,4.109589041095891,52.38095238095238,5.753424657534247,0.02465753424657535,204.1095890410959
"(30,30,30,1.6,1.6,W/T,wins)",30,30,30,1.6,1.6,W/T,wins,70.0,5.47945205479452,77.77777777777777,2.4657534246575343,63.63636363636363,3.0136986301369864,0.013698630136986299,196.91019786910195
"(30,30,30,1.6,1.6,W-L,wins)",30,30,30,1.6,1.6,W-L,wins,70.58823529411765,4.657534246575342,77.77777777777777,2.4657534246575343,62.5,2.191780821917808,0.013698630136986299,196.91019786910195
"(7,7,7,0.4,0.4,W/L,wins)",7,7,7,0.4,0.4,W/L,wins,53.75,65.75342465753425,55.172413793103445,55.61643835616438,45.94594594594594,10.136986301369864,0.05753424657534245,193.547472838923
"(7,7,7,0.4,0.4,T/L,wins)",7,7,7,0.4,0.4,T/L,wins,53.75,65.75342465753425,55.172413793103445,55.61643835616438,45.94594594594594,10.136986301369864,0.05753424657534245,193.547472838923
"(60,60,60,0.8,0.8,W/T,wins)",60,60,60,0.8,0.8,W/T,wins,43.93063583815029,47.397260273972606,75.0,3.287671232876712,41.61490683229814,44.10958904109589,0.01643835616438356,190.7876712328767
"(7,7,7,0.8,0.8,W/L,wins)",7,7,7,0.8,0.8,W/L,wins,55.88235294117647,9.315068493150685,75.0,2.191780821917808,50.0,7.123287671232877,0.010958904109589041,189.6917808219178
"(30,30,30,1.6,1.6,W/T,earnings)",30,30,30,1.6,1.6,W/T,earnings,61.53846153846154,3.5616438356164384,75.0,2.191780821917808,40.0,1.36986301369863,0.010958904109589041,189.6917808219178
"(7,7,7,0.8,0.8,T/L,wins)",7,7,7,0.8,0.8,T/L,wins,55.88235294117647,9.315068493150685,75.0,2.191780821917808,50.0,7.123287671232877,0.010958904109589041,189.6917808219178
"(15,15,15,1.2,1.2,W/T,wins)",15,15,15,1.2,1.2,W/T,wins,60.0,12.32876712328767,73.6842105263158,5.205479452054795,50.0,7.123287671232877,0.024657534246575352,189.41600576784427
"(60,60,60,0.4,0.4,W-L,wins)",60,60,60,0.4,0.4,W-L,wins,45.78754578754579,74.79452054794521,72.41379310344827,7.945205479452055,42.62295081967213,66.84931506849315,0.03561643835616438,188.97968823807273
"(30,30,30,0.4,0.4,W/T,wins)",30,30,30,0.4,0.4,W/T,wins,50.0,60.821917808219176,65.4320987654321,22.19178082191781,41.13475177304964,38.63013698630137,0.06849315068493153,185.77202773549806
"(60,60,60,0.4,0.4,W/T,earnings)",60,60,60,0.4,0.4,W/T,earnings,46.62921348314607,48.76712328767123,71.42857142857143,5.753424657534247,43.31210191082803,43.013698630136986,0.02465753424657535,184.32485322896284
"(30,30,30,0.8,0.8,W-L,wins)",30,30,30,0.8,0.8,W-L,wins,47.72727272727273,24.10958904109589,69.6969696969697,9.04109589041096,34.54545454545455,15.068493150684931,0.0356164383561644,183.2835201328352
"(30,30,30,0.4,0.4,W-L,wins)",30,30,30,0.4,0.4,W-L,wins,49.55357142857143,61.36986301369863,63.75,21.91780821917808,41.66666666666666,39.45205479452055,0.06027397260273975,181.29280821917808
"(15,15,15,0.8,0.8,W/T,wins)",15,15,15,0.8,0.8,W/T,wins,58.46153846153846,17.80821917808219,68.75,8.767123287671232,48.48484848484848,9.04109589041096,0.03287671232876713,180.64212328767124
"(60,60,60,1.2,1.2,W/T,wins)",60,60,60,1.2,1.2,W/T,wins,43.61702127659574,25.753424657534246,71.42857142857143,1.917808219178082,41.37931034482759,23.83561643835617,0.008219178082191782,180.48923679060667
"(60,60,60,0.4,0.4,T/L,earnings)",60,60,60,0.4,0.4,T/L,earnings,47.5,43.83561643835616,70.0,5.47945205479452,44.285714285714285,38.35616438356164,0.02191780821917809,180.4794520547945
"(60,60,60,0.4,0.4,W-L,earnings)",60,60,60,0.4,0.4,W-L,earnings,46.98795180722892,45.47945205479452,70.0,5.47945205479452,43.83561643835616,40.0,0.02191780821917809,180.4794520547945
"(60,60,60,0.4,0.4,W/L,earnings)",60,60,60,0.4,0.4,W/L,earnings,47.5,43.83561643835616,70.0,5.47945205479452,44.285714285714285,38.35616438356164,0.02191780821917809,180.4794520547945
"(60,60,60,0.4,0.4,W/T,wins)",60,60,60,0.4,0.4,W/T,wins,45.72490706319702,73.6986301369863,68.96551724137932,7.945205479452055,42.91666666666666,65.75342465753425,0.030136986301369868,180.35899858290034
"(60,60,60,0.8,0.8,W/L,wins)",60,60,60,0.8,0.8,W/L,wins,52.67857142857143,30.68493150684932,66.66666666666667,10.684931506849315,45.2054794520548,20.0,0.035616438356164404,177.351598173516
"(60,60,60,0.8,0.8,T/L,wins)",60,60,60,0.8,0.8,T/L,wins,52.67857142857143,30.68493150684932,66.66666666666667,10.684931506849315,45.2054794520548,20.0,0.035616438356164404,177.351598173516
"(60,60,60,1.2,1.2,W/T,earnings)",60,60,60,1.2,1.2,W/T,earnings,61.53846153846154,7.123287671232877,69.23076923076923,3.5616438356164384,53.84615384615385,3.5616438356164384,0.0136986301369863,176.63856691253952
"(15,15,15,0.8,0.8,W-L,wins)",15,15,15,0.8,0.8,W-L,wins,58.208955223880594,18.356164383561644,65.71428571428571,9.58904109589041,50.0,8.767123287671232,0.03013698630136986,173.8747553816047
"(30,30,30,0.8,0.8,W/T,wins)",30,30,30,0.8,0.8,W/T,wins,47.61904761904762,23.013698630136982,65.625,8.767123287671232,36.53846153846154,14.246575342465754,0.0273972602739726,172.82962328767124
"(15,15,15,1.2,1.2,W-L,wins)",15,15,15,1.2,1.2,W-L,wins,56.52173913043478,12.602739726027398,66.66666666666667,5.753424657534247,48.0,6.849315068493151,0.019178082191780833,172.42009132420094
"(60,60,60,1.6,1.6,T/L,wins)",60,60,60,1.6,1.6,T/L,wins,70.83333333333333,6.575342465753424,66.66666666666667,5.753424657534247,100.0,0.821917808219178,0.019178082191780833,172.42009132420094
"(60,60,60,1.6,1.6,W/L,wins)",60,60,60,1.6,1.6,W/L,wins,70.83333333333333,6.575342465753424,66.66666666666667,5.753424657534247,100.0,0.821917808219178,0.019178082191780833,172.42009132420094
"(15,15,15,1.6,1.6,T/L,wins)",15,15,15,1.6,1.6,T/L,wins,61.29032258064516,8.493150684931507,66.66666666666667,4.931506849315069,53.84615384615385,3.5616438356164384,0.01643835616438357,171.59817351598176
"(15,15,15,1.6,1.6,W/L,wins)",15,15,15,1.6,1.6,W/L,wins,61.29032258064516,8.493150684931507,66.66666666666667,4.931506849315069,53.84615384615385,3.5616438356164384,0.01643835616438357,171.59817351598176
"(60,60,60,0.8,0.8,W-L,wins)",60,60,60,0.8,0.8,W-L,wins,43.54838709677419,50.95890410958904,66.66666666666667,4.109589041095891,41.52046783625731,46.84931506849315,0.01369863013698631,170.77625570776257
"(60,60,60,1.2,1.2,W/L,wins)",60,60,60,1.2,1.2,W/L,wins,62.16216216216216,10.136986301369864,65.38461538461539,7.123287671232877,54.54545454545455,3.0136986301369864,0.021917808219178082,170.58482613277133
"(60,60,60,1.2,1.2,T/L,wins)",60,60,60,1.2,1.2,T/L,wins,62.16216216216216,10.136986301369864,65.38461538461539,7.123287671232877,54.54545454545455,3.0136986301369864,0.021917808219178082,170.58482613277133
"(30,30,30,0.4,0.4,W/L,wins)",30,30,30,0.4,0.4,W/L,wins,46.72489082969432,62.73972602739726,58.24175824175824,24.931506849315067,39.130434782608695,37.80821917808219,0.04109589041095892,170.53590245371066
"(30,30,30,0.4,0.4,T/L,wins)",30,30,30,0.4,0.4,T/L,wins,46.72489082969432,62.73972602739726,58.24175824175824,24.931506849315067,39.130434782608695,37.80821917808219,0.04109589041095892,170.53590245371066
"(60,60,60,1.2,1.2,W-L,earnings)",60,60,60,1.2,1.2,W-L,earnings,60.0,6.849315068493151,66.66666666666667,3.287671232876712,53.84615384615385,3.5616438356164384,0.010958904109589045,169.9543378995434
"(30,30,30,1.6,1.6,W/L,earnings)",30,30,30,1.6,1.6,W/L,earnings,63.63636363636363,3.0136986301369864,66.66666666666667,2.4657534246575343,50.0,0.547945205479452,0.008219178082191785,169.1324200913242
"(30,30,30,1.6,1.6,W-L,earnings)",30,30,30,1.6,1.6,W-L,earnings,57.142857142857146,3.835616438356164,66.66666666666667,2.4657534246575343,40.0,1.36986301369863,0.008219178082191785,169.1324200913242
"(30,30,30,1.6,1.6,T/L,earnings)",30,30,30,1.6,1.6,T/L,earnings,63.63636363636363,3.0136986301369864,66.66666666666667,2.4657534246575343,50.0,0.547945205479452,0.008219178082191785,169.1324200913242
"(7,7,7,0.8,0.8,W/T,wins)",7,7,7,0.8,0.8,W/T,wins,53.125,8.767123287671232,66.66666666666667,1.643835616438356,50.0,7.123287671232877,0.005479452054794522,168.31050228310505
"(15,15,15,0.4,0.4,W-L,wins)",15,15,15,0.4,0.4,W-L,wins,53.26086956521739,25.2054794520548,62.22222222222222,12.32876712328767,44.680851063829785,12.876712328767123,0.030136986301369864,167.8843226788432
"(7,7,7,1.2,1.2,W/L,wins)",7,7,7,1.2,1.2,W/L,wins,52.0,6.849315068493151,66.66666666666667,0.821917808219178,50.0,6.027397260273973,0.002739726027397261,167.48858447488587
"(7,7,7,1.2,1.2,T/L,wins)",7,7,7,1.2,1.2,T/L,wins,52.0,6.849315068493151,66.66666666666667,0.821917808219178,50.0,6.027397260273973,0.002739726027397261,167.48858447488587
"(7,7,7,1.2,1.2,W-L,wins)",7,7,7,1.2,1.2,W-L,wins,51.851851851851855,7.397260273972603,66.66666666666667,0.821917808219178,50.0,6.575342465753424,0.002739726027397261,167.48858447488587
"(60,60,60,0.4,0.4,W/L,wins)",60,60,60,0.4,0.4,W/L,wins,46.82539682539682,69.04109589041096,60.0,16.438356164383563,42.708333333333336,52.602739726027394,0.03287671232876712,166.43835616438355
"(60,60,60,0.4,0.4,T/L,wins)",60,60,60,0.4,0.4,T/L,wins,46.82539682539682,69.04109589041096,60.0,16.438356164383563,42.708333333333336,52.602739726027394,0.03287671232876712,166.43835616438355
"(60,60,60,1.2,1.2,W/L,earnings)",60,60,60,1.2,1.2,W/L,earnings,63.63636363636363,6.027397260273973,64.28571428571429,3.835616438356164,62.5,2.191780821917808,0.010958904109589045,164.5499021526419
"(60,60,60,0.8,0.8,T/L,earnings)",60,60,60,0.8,0.8,T/L,earnings,60.0,8.219178082191782,64.28571428571429,3.835616438356164,56.25,4.383561643835616,0.010958904109589045,164.5499021526419
"(60,60,60,0.8,0.8,W/L,earnings)",60,60,60,0.8,0.8,W/L,earnings,60.0,8.219178082191782,64.28571428571429,3.835616438356164,56.25,4.383561643835616,0.010958904109589045,164.5499021526419
"(60,60,60,0.8,0.8,W/T,earnings)",60,60,60,0.8,0.8,W/T,earnings,51.21951219512195,11.232876712328768,64.28571428571429,3.835616438356164,44.44444444444444,7.397260273972603,0.010958904109589045,164.5499021526419
"(60,60,60,1.2,1.2,T/L,earnings)",60,60,60,1.2,1.2,T/L,earnings,63.63636363636363,6.027397260273973,64.28571428571429,3.835616438356164,62.5,2.191780821917808,0.010958904109589045,164.5499021526419
"(30,30,30,1.2,1.2,W-L,wins)",30,30,30,1.2,1.2,W-L,wins,63.333333333333336,8.219178082191782,64.28571428571429,3.835616438356164,62.5,4.383561643835616,0.010958904109589045,164.5499021526419
"(60,60,60,0.8,0.8,W-L,earnings)",60,60,60,0.8,0.8,W-L,earnings,58.8235294117647,9.315068493150685,64.28571428571429,3.835616438356164,55.0,5.47945205479452,0.010958904109589045,164.5499021526419
"(15,15,15,0.8,0.8,T/L,wins)",15,15,15,0.8,0.8,T/L,wins,56.52173913043478,18.90410958904109,60.0,13.6986301369863,47.36842105263158,5.205479452054795,0.027397260273972594,163.6986301369863
"(15,15,15,0.8,0.8,W/L,wins)",15,15,15,0.8,0.8,W/L,wins,56.52173913043478,18.90410958904109,60.0,13.6986301369863,47.36842105263158,5.205479452054795,0.027397260273972594,163.6986301369863
"(60,60,60,1.6,1.6,T/L,earnings)",60,60,60,1.6,1.6,T/L,earnings,66.66666666666667,4.109589041095891,63.63636363636363,3.0136986301369864,75.0,1.095890410958904,0.00821917808219178,162.10460772104608
"(60,60,60,1.6,1.6,W/T,earnings)",60,60,60,1.6,1.6,W/T,earnings,65.0,5.47945205479452,63.63636363636363,3.0136986301369864,66.66666666666667,2.4657534246575343,0.00821917808219178,162.10460772104608
