,summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria
82,"(30,30,30,0.4,0.4,W/T,wins)",30,30,30,0.4,0.4,W/T,wins,56.355932203389834,64.65753424657534,58.333333333333336,52.602739726027394,47.72727272727273,12.054794520547945,21041.09589041096
37,"(15,15,15,0.4,0.4,W-L,wins)",15,15,15,0.4,0.4,W-L,wins,49.814126394052046,73.6986301369863,60.283687943262414,38.63013698630137,38.28125,35.06849315068493,19068.49315068494
2,"(7,7,7,0.4,0.4,W/T,wins)",7,7,7,0.4,0.4,W/T,wins,65.78947368421052,20.82191780821918,71.66666666666667,16.438356164383563,43.75,4.383561643835616,17095.890410958913
1,"(7,7,7,0.4,0.4,W-L,wins)",7,7,7,0.4,0.4,W-L,wins,65.33333333333333,20.54794520547945,72.22222222222223,14.794520547945206,47.61904761904762,5.7534246575342465,15780.821917808225
45,"(15,15,15,0.4,0.4,W-L,earnings)",15,15,15,0.4,0.4,W-L,earnings,49.7737556561086,60.54794520547945,63.333333333333336,24.65753424657534,40.458015267175576,35.89041095890411,15780.821917808224
62,"(15,15,15,0.4,0.4,W/T,wins)",15,15,15,0.4,0.4,W/T,wins,48.616600790513836,69.31506849315069,59.2,34.24657534246575,38.28125,35.06849315068493,15123.287671232882
21,"(7,7,7,0.8,0.8,W/T,wins)",7,7,7,0.8,0.8,W/T,wins,67.1875,17.534246575342465,72.54901960784314,13.972602739726028,46.15384615384615,3.5616438356164384,15123.287671232874
3,"(7,7,7,0.4,0.4,W-L,earnings)",7,7,7,0.4,0.4,W-L,earnings,65.21739130434783,18.904109589041095,72.91666666666667,13.150684931506849,47.61904761904762,5.7534246575342465,14465.753424657538
34,"(15,15,15,0.4,0.4,W/T,earnings)",15,15,15,0.4,0.4,W/T,earnings,48.401826484018265,60.0,62.5,24.10958904109589,38.93129770992366,35.89041095890411,14465.753424657534
0,"(7,7,7,0.4,0.4,W/L,wins)",7,7,7,0.4,0.4,W/L,wins,66.12903225806451,16.986301369863014,71.42857142857143,13.424657534246576,46.15384615384615,3.5616438356164384,13808.219178082196
7,"(7,7,7,0.4,0.4,T/L,wins)",7,7,7,0.4,0.4,T/L,wins,66.12903225806451,16.986301369863014,71.42857142857143,13.424657534246576,46.15384615384615,3.5616438356164384,13808.219178082196
116,"(60,60,60,0.4,0.4,W/T,wins)",60,60,60,0.4,0.4,W/T,wins,54.02843601895734,57.80821917808219,56.95364238410596,41.36986301369863,46.666666666666664,16.438356164383563,13808.219178082192
17,"(7,7,7,0.8,0.8,W/T,earnings)",7,7,7,0.8,0.8,W/T,earnings,63.9344262295082,16.71232876712329,71.73913043478261,12.602739726027398,40.0,4.109589041095891,13150.68493150685
22,"(7,7,7,0.8,0.8,W-L,earnings)",7,7,7,0.8,0.8,W-L,earnings,63.333333333333336,16.438356164383563,71.73913043478261,12.602739726027398,35.714285714285715,3.835616438356164,13150.68493150685
13,"(7,7,7,0.8,0.8,W/L,earnings)",7,7,7,0.8,0.8,W/L,earnings,64.40677966101696,16.164383561643834,71.73913043478261,12.602739726027398,38.46153846153846,3.5616438356164384,13150.68493150685
12,"(7,7,7,0.8,0.8,T/L,earnings)",7,7,7,0.8,0.8,T/L,earnings,64.40677966101696,16.164383561643834,71.73913043478261,12.602739726027398,38.46153846153846,3.5616438356164384,13150.68493150685
48,"(15,15,15,0.8,0.8,W/T,earnings)",15,15,15,0.8,0.8,W/T,earnings,53.48837209302326,35.342465753424655,64.70588235294117,18.63013698630137,40.98360655737705,16.71232876712329,13150.684931506847
47,"(15,15,15,0.4,0.4,T/L,earnings)",15,15,15,0.4,0.4,T/L,earnings,48.57142857142857,57.534246575342465,63.38028169014085,19.45205479452055,41.007194244604314,38.082191780821915,12493.150684931512
32,"(15,15,15,0.4,0.4,W/L,earnings)",15,15,15,0.4,0.4,W/L,earnings,48.57142857142857,57.534246575342465,63.38028169014085,19.45205479452055,41.007194244604314,38.082191780821915,12493.150684931512
49,"(15,15,15,0.8,0.8,W-L,wins)",15,15,15,0.8,0.8,W-L,wins,55.08474576271186,32.32876712328767,63.38028169014085,19.45205479452055,42.5531914893617,12.876712328767123,12493.150684931512
10,"(7,7,7,0.4,0.4,W/L,earnings)",7,7,7,0.4,0.4,W/L,earnings,63.07692307692308,17.80821917808219,69.38775510204081,13.424657534246576,43.75,4.383561643835616,12493.150684931506
6,"(7,7,7,0.4,0.4,T/L,earnings)",7,7,7,0.4,0.4,T/L,earnings,63.07692307692308,17.80821917808219,69.38775510204081,13.424657534246576,43.75,4.383561643835616,12493.150684931506
4,"(7,7,7,0.4,0.4,W/T,earnings)",7,7,7,0.4,0.4,W/T,earnings,63.07692307692308,17.80821917808219,69.38775510204081,13.424657534246576,43.75,4.383561643835616,12493.150684931506
15,"(7,7,7,0.8,0.8,W-L,wins)",7,7,7,0.8,0.8,W-L,wins,63.793103448275865,15.89041095890411,71.42857142857143,11.506849315068493,43.75,4.383561643835616,11835.616438356165
35,"(15,15,15,0.4,0.4,T/L,wins)",15,15,15,0.4,0.4,T/L,wins,49.375,43.83561643835616,63.9344262295082,16.71232876712329,40.4040404040404,27.123287671232877,11178.082191780823
42,"(15,15,15,0.4,0.4,W/L,wins)",15,15,15,0.4,0.4,W/L,wins,49.375,43.83561643835616,63.9344262295082,16.71232876712329,40.4040404040404,27.123287671232877,11178.082191780823
19,"(7,7,7,1.2,1.2,W/T,wins)",7,7,7,1.2,1.2,W/T,wins,65.95744680851064,12.876712328767123,70.73170731707317,11.232876712328768,33.333333333333336,1.643835616438356,11178.082191780823
51,"(15,15,15,0.8,0.8,W/T,wins)",15,15,15,0.8,0.8,W/T,wins,52.06611570247934,33.15068493150685,63.492063492063494,17.26027397260274,39.6551724137931,15.89041095890411,11178.082191780823
80,"(30,30,30,0.4,0.4,T/L,earnings)",30,30,30,0.4,0.4,T/L,earnings,53.110047846889955,57.26027397260274,55.78231292517007,40.273972602739725,46.774193548387096,16.986301369863014,11178.08219178082
81,"(30,30,30,0.4,0.4,W/L,earnings)",30,30,30,0.4,0.4,W/L,earnings,53.110047846889955,57.26027397260274,55.78231292517007,40.273972602739725,46.774193548387096,16.986301369863014,11178.08219178082
66,"(30,30,30,0.4,0.4,W-L,wins)",30,30,30,0.4,0.4,W-L,wins,52.70935960591133,55.61643835616438,55.47945205479452,40.0,45.6140350877193,15.616438356164384,10520.54794520548
55,"(15,15,15,1.2,1.2,W/T,wins)",15,15,15,1.2,1.2,W/T,wins,66.66666666666667,16.438356164383563,68.29268292682927,11.232876712328768,63.1578947368421,5.205479452054795,9863.01369863014
44,"(15,15,15,0.8,0.8,T/L,earnings)",15,15,15,0.8,0.8,T/L,earnings,51.96078431372549,27.945205479452056,68.29268292682927,11.232876712328768,40.98360655737705,16.71232876712329,9863.01369863014
39,"(15,15,15,0.8,0.8,W/L,earnings)",15,15,15,0.8,0.8,W/L,earnings,51.96078431372549,27.945205479452056,68.29268292682927,11.232876712328768,40.98360655737705,16.71232876712329,9863.01369863014
33,"(15,15,15,0.8,0.8,W-L,earnings)",15,15,15,0.8,0.8,W-L,earnings,52.77777777777778,29.589041095890412,64.15094339622641,14.520547945205479,41.81818181818182,15.068493150684931,9863.013698630131
79,"(30,30,30,0.4,0.4,W/T,earnings)",30,30,30,0.4,0.4,W/T,earnings,52.63157894736842,57.26027397260274,55.172413793103445,39.726027397260275,46.875,17.534246575342465,9863.01369863013
65,"(30,30,30,0.4,0.4,W-L,earnings)",30,30,30,0.4,0.4,W-L,earnings,52.26130653266332,54.52054794520548,55.172413793103445,39.726027397260275,44.44444444444444,14.794520547945206,9863.01369863013
38,"(15,15,15,1.2,1.2,W/T,earnings)",15,15,15,1.2,1.2,W/T,earnings,67.9245283018868,14.520547945205479,70.58823529411765,9.315068493150685,63.1578947368421,5.205479452054795,9205.479452054797
46,"(15,15,15,1.2,1.2,W-L,wins)",15,15,15,1.2,1.2,W-L,wins,68.62745098039215,13.972602739726028,67.56756756756756,10.136986301369863,71.42857142857143,3.835616438356164,8547.945205479451
57,"(15,15,15,1.2,1.2,W-L,earnings)",15,15,15,1.2,1.2,W-L,earnings,66.66666666666667,13.972602739726028,68.57142857142857,9.58904109589041,62.5,4.383561643835616,8547.945205479451
72,"(30,30,30,0.4,0.4,W/L,wins)",30,30,30,0.4,0.4,W/L,wins,54.629629629629626,29.589041095890412,57.142857142857146,23.013698630136986,45.833333333333336,6.575342465753424,7890.410958904113
74,"(30,30,30,0.4,0.4,T/L,wins)",30,30,30,0.4,0.4,T/L,wins,54.629629629629626,29.589041095890412,57.142857142857146,23.013698630136986,45.833333333333336,6.575342465753424,7890.410958904113
100,"(60,60,60,0.4,0.4,W/L,earnings)",60,60,60,0.4,0.4,W/L,earnings,52.60115606936416,47.397260273972606,55.55555555555556,29.589041095890412,47.69230769230769,17.80821917808219,7890.410958904113
125,"(60,60,60,0.4,0.4,T/L,earnings)",60,60,60,0.4,0.4,T/L,earnings,52.60115606936416,47.397260273972606,55.55555555555556,29.589041095890412,47.69230769230769,17.80821917808219,7890.410958904113
118,"(60,60,60,0.8,0.8,W/T,wins)",60,60,60,0.8,0.8,W/T,wins,53.191489361702125,25.753424657534246,59.67741935483871,16.986301369863014,40.625,8.767123287671232,7890.410958904112
59,"(15,15,15,1.2,1.2,T/L,earnings)",15,15,15,1.2,1.2,T/L,earnings,68.08510638297872,12.876712328767123,71.42857142857143,7.671232876712328,63.1578947368421,5.205479452054795,7890.410958904111
52,"(15,15,15,1.2,1.2,W/L,earnings)",15,15,15,1.2,1.2,W/L,earnings,68.08510638297872,12.876712328767123,71.42857142857143,7.671232876712328,63.1578947368421,5.205479452054795,7890.410958904111
96,"(60,60,60,0.4,0.4,W-L,earnings)",60,60,60,0.4,0.4,W-L,earnings,51.19047619047619,46.02739726027397,55.23809523809524,28.767123287671232,44.44444444444444,17.26027397260274,7232.876712328772
99,"(60,60,60,0.4,0.4,W-L,wins)",60,60,60,0.4,0.4,W-L,wins,50.609756097560975,44.93150684931507,55.23809523809524,28.767123287671232,42.3728813559322,16.164383561643834,7232.876712328772
114,"(60,60,60,0.4,0.4,W/T,earnings)",60,60,60,0.4,0.4,W/T,earnings,51.74418604651163,47.12328767123287,55.23809523809524,28.767123287671232,46.26865671641791,18.356164383561644,7232.876712328772
67,"(30,30,30,0.8,0.8,W-L,earnings)",30,30,30,0.8,0.8,W-L,earnings,53.93258426966292,24.383561643835616,57.74647887323944,19.45205479452055,38.888888888888886,4.931506849315069,7232.876712328771
76,"(30,30,30,0.8,0.8,W/T,earnings)",30,30,30,0.8,0.8,W/T,earnings,54.255319148936174,25.753424657534246,57.74647887323944,19.45205479452055,43.47826086956522,6.301369863013699,7232.876712328771
75,"(30,30,30,0.8,0.8,W/L,earnings)",30,30,30,0.8,0.8,W/L,earnings,53.68421052631579,26.027397260273972,57.534246575342465,20.0,40.90909090909091,6.027397260273973,7232.876712328766
87,"(30,30,30,0.8,0.8,T/L,earnings)",30,30,30,0.8,0.8,T/L,earnings,53.68421052631579,26.027397260273972,57.534246575342465,20.0,40.90909090909091,6.027397260273973,7232.876712328766
64,"(30,30,30,0.8,0.8,W-L,wins)",30,30,30,0.8,0.8,W-L,wins,53.40909090909091,24.10958904109589,57.142857142857146,19.17808219178082,38.888888888888886,4.931506849315069,6575.342465753428
90,"(30,30,30,1.2,1.2,W/T,wins)",30,30,30,1.2,1.2,W/T,wins,57.89473684210526,15.616438356164384,60.0,13.698630136986301,42.857142857142854,1.917808219178082,6575.342465753425
111,"(60,60,60,0.8,0.8,W-L,wins)",60,60,60,0.8,0.8,W-L,wins,55.12820512820513,21.36986301369863,60.869565217391305,12.602739726027398,46.875,8.767123287671232,6575.342465753425
92,"(30,30,30,1.2,1.2,W/T,earnings)",30,30,30,1.2,1.2,W/T,earnings,61.111111111111114,9.863013698630137,66.66666666666667,7.397260273972603,44.44444444444444,2.4657534246575343,5917.808219178086
60,"(15,15,15,1.6,1.6,W-L,wins)",15,15,15,1.6,1.6,W-L,wins,68.96551724137932,7.945205479452055,73.6842105263158,5.205479452054795,60.0,2.73972602739726,5917.808219178086
31,"(7,7,7,1.6,1.6,W/T,wins)",7,7,7,1.6,1.6,W/T,wins,65.51724137931035,7.945205479452055,65.51724137931035,7.945205479452055,,0.0,5917.808219178083
