,summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria
0,"(7,7,7,0.4,0.4,W-L,wins)",7,7,7,0.4,0.4,W-L,wins,52.44956772334294,95.06849315068493,57.044673539518904,79.72602739726027,28.571428571428573,15.342465753424657,26958.904109589053
7,"(7,7,7,0.4,0.4,W/T,wins)",7,7,7,0.4,0.4,W/T,wins,52.8023598820059,92.87671232876713,57.34767025089606,76.43835616438356,31.666666666666668,16.438356164383563,26958.904109589046
106,"(60,60,60,0.4,0.4,W-L,earnings)",60,60,60,0.4,0.4,W-L,earnings,52.52918287937743,70.41095890410959,59.09090909090909,48.21917808219178,38.27160493827161,22.19178082191781,21041.095890410965
118,"(60,60,60,0.4,0.4,T/L,earnings)",60,60,60,0.4,0.4,T/L,earnings,52.549019607843135,69.86301369863014,59.06432748538012,46.84931506849315,39.285714285714285,23.013698630136986,20383.561643835623
101,"(60,60,60,0.4,0.4,W/L,earnings)",60,60,60,0.4,0.4,W/L,earnings,52.549019607843135,69.86301369863014,59.06432748538012,46.84931506849315,39.285714285714285,23.013698630136986,20383.561643835623
120,"(60,60,60,0.4,0.4,W/T,earnings)",60,60,60,0.4,0.4,W/T,earnings,52.52918287937743,70.41095890410959,58.857142857142854,47.945205479452056,39.02439024390244,22.465753424657535,20383.56164383561
115,"(60,60,60,0.4,0.4,W/T,wins)",60,60,60,0.4,0.4,W/T,wins,52.91970802919708,75.06849315068493,58.62068965517241,47.67123287671233,43.0,27.397260273972602,19726.027397260274
66,"(30,30,30,0.4,0.4,W-L,wins)",30,30,30,0.4,0.4,W-L,wins,50.0,70.68493150684931,59.006211180124225,44.10958904109589,35.05154639175258,26.575342465753426,19068.49315068493
103,"(60,60,60,0.4,0.4,W-L,wins)",60,60,60,0.4,0.4,W-L,wins,52.075471698113205,72.6027397260274,57.89473684210526,46.84931506849315,41.48936170212766,25.753424657534246,17753.42465753424
47,"(15,15,15,0.4,0.4,W/L,wins)",15,15,15,0.4,0.4,W/L,wins,50.99337748344371,41.36986301369863,62.96296296296296,22.19178082191781,37.142857142857146,19.17808219178082,13808.219178082192
39,"(15,15,15,0.4,0.4,T/L,wins)",15,15,15,0.4,0.4,T/L,wins,50.99337748344371,41.36986301369863,62.96296296296296,22.19178082191781,37.142857142857146,19.17808219178082,13808.219178082192
65,"(30,30,30,0.4,0.4,W-L,earnings)",30,30,30,0.4,0.4,W-L,earnings,50.0,70.13698630136986,56.287425149700596,45.75342465753425,38.20224719101124,24.383561643835616,13808.219178082187
32,"(15,15,15,0.4,0.4,W/T,earnings)",15,15,15,0.4,0.4,W/T,earnings,48.19277108433735,68.21917808219177,56.493506493506494,42.19178082191781,34.73684210526316,26.027397260273972,13150.68493150685
79,"(30,30,30,0.4,0.4,W/T,earnings)",30,30,30,0.4,0.4,W/T,earnings,50.0,69.58904109589041,56.09756097560975,44.93150684931507,38.888888888888886,24.65753424657534,13150.684931506845
51,"(15,15,15,0.4,0.4,W-L,earnings)",15,15,15,0.4,0.4,W-L,earnings,47.983870967741936,67.94520547945206,56.12903225806452,42.465753424657535,34.40860215053763,25.47945205479452,12493.150684931516
81,"(30,30,30,0.4,0.4,T/L,earnings)",30,30,30,0.4,0.4,T/L,earnings,49.6031746031746,69.04109589041096,55.900621118012424,44.10958904109589,38.46153846153846,24.931506849315067,12493.150684931512
78,"(30,30,30,0.4,0.4,W/L,earnings)",30,30,30,0.4,0.4,W/L,earnings,49.6031746031746,69.04109589041096,55.900621118012424,44.10958904109589,38.46153846153846,24.931506849315067,12493.150684931512
43,"(15,15,15,0.4,0.4,W/T,wins)",15,15,15,0.4,0.4,W/T,wins,50.21459227467811,63.83561643835616,57.03703703703704,36.986301369863014,40.816326530612244,26.84931506849315,12493.150684931512
123,"(60,60,60,0.4,0.4,T/L,wins)",60,60,60,0.4,0.4,T/L,wins,50.0,55.342465753424655,60.43956043956044,24.931506849315067,41.44144144144144,30.410958904109588,12493.150684931506
104,"(60,60,60,0.4,0.4,W/L,wins)",60,60,60,0.4,0.4,W/L,wins,50.0,55.342465753424655,60.43956043956044,24.931506849315067,41.44144144144144,30.410958904109588,12493.150684931506
93,"(30,30,30,0.8,0.8,T/L,earnings)",30,30,30,0.8,0.8,T/L,earnings,54.81481481481482,36.986301369863014,60.674157303370784,24.383561643835616,43.47826086956522,12.602739726027398,12493.150684931505
90,"(30,30,30,0.8,0.8,W/L,earnings)",30,30,30,0.8,0.8,W/L,earnings,54.81481481481482,36.986301369863014,60.674157303370784,24.383561643835616,43.47826086956522,12.602739726027398,12493.150684931505
74,"(30,30,30,0.4,0.4,W/T,wins)",30,30,30,0.4,0.4,W/T,wins,49.35064935064935,63.28767123287671,56.42857142857143,38.35616438356164,38.46153846153846,24.931506849315067,11835.616438356166
100,"(60,60,60,0.8,0.8,W-L,earnings)",60,60,60,0.8,0.8,W-L,earnings,50.526315789473685,52.054794520547944,56.42857142857143,38.35616438356164,34.0,13.698630136986301,11835.616438356166
68,"(30,30,30,0.8,0.8,W-L,earnings)",30,30,30,0.8,0.8,W-L,earnings,53.84615384615385,39.178082191780824,59.375,26.301369863013697,42.5531914893617,12.876712328767123,11835.616438356165
76,"(30,30,30,0.8,0.8,W/T,earnings)",30,30,30,0.8,0.8,W/T,earnings,53.90070921985816,38.63013698630137,59.57446808510638,25.753424657534246,42.5531914893617,12.876712328767123,11835.616438356163
35,"(15,15,15,0.4,0.4,W/L,earnings)",15,15,15,0.4,0.4,W/L,earnings,48.16326530612245,67.12328767123287,55.921052631578945,41.64383561643836,35.483870967741936,25.47945205479452,11835.61643835616
52,"(15,15,15,0.4,0.4,T/L,earnings)",15,15,15,0.4,0.4,T/L,earnings,48.16326530612245,67.12328767123287,55.921052631578945,41.64383561643836,35.483870967741936,25.47945205479452,11835.61643835616
80,"(30,30,30,0.4,0.4,W/L,wins)",30,30,30,0.4,0.4,W/L,wins,48.32535885167464,57.26027397260274,57.27272727272727,30.136986301369863,38.38383838383838,27.123287671232877,10520.54794520548
114,"(60,60,60,1.2,1.2,W/T,wins)",60,60,60,1.2,1.2,W/T,wins,54.7008547008547,32.054794520547944,58.333333333333336,26.301369863013697,38.095238095238095,5.7534246575342465,10520.54794520548
117,"(60,60,60,0.8,0.8,W/T,earnings)",60,60,60,0.8,0.8,W/T,earnings,50.0,52.054794520547944,55.714285714285715,38.35616438356164,34.0,13.698630136986301,10520.54794520548
72,"(30,30,30,0.4,0.4,T/L,wins)",30,30,30,0.4,0.4,T/L,wins,48.32535885167464,57.26027397260274,57.27272727272727,30.136986301369863,38.38383838383838,27.123287671232877,10520.54794520548
