Unnamed: 0,summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria3,proyected_part_above,criteria2
60,"(15,15,15,0.8,0.8,W-L,wins)",15,15,15,0.8,0.8,W-L,wins,57.72357723577236,33.6986301369863,60.294117647058826,18.63013698630137,54.54545454545455,15.068493150684931,0.038356164383561674,621.5713134568897,93.15068493150685,0.19178082191780835
36,"(15,15,15,0.4,0.4,W-L,wins)",15,15,15,0.4,0.4,W-L,wins,58.97435897435897,85.47945205479452,59.92217898832685,70.41095890410959,54.54545454545455,15.068493150684931,0.13972602739726026,669.6327487873781,100.0,0.19844357976653693
40,"(15,15,15,0.4,0.4,W/T,wins)",15,15,15,0.4,0.4,W/T,wins,58.86075949367088,86.57534246575342,59.770114942528735,71.5068493150685,54.54545454545455,15.068493150684931,0.13972602739726037,669.2079987403558,100.0,0.1954022988505748
67,"(30,30,30,0.4,0.4,W-L,wins)",30,30,30,0.4,0.4,W-L,wins,58.94736842105263,26.02739726027397,58.94736842105263,26.02739726027397,,0.0,0.04657534246575339,615.5010814708002,100.0,0.17894736842105252
73,"(30,30,30,0.4,0.4,W/T,wins)",30,30,30,0.4,0.4,W/T,wins,58.8235294117647,60.54794520547945,58.8235294117647,60.54794520547945,,0.0,0.10684931506849317,648.7832393231265,100.0,0.17647058823529416
100,"(60,60,60,0.4,0.4,W/T,wins)",60,60,60,0.4,0.4,W/T,wins,56.89655172413793,31.78082191780822,56.89655172413793,31.78082191780822,,0.0,0.04383561643835618,600.7463391591875,100.0,0.13793103448275867
34,"(15,15,15,0.8,0.8,W/T,wins)",15,15,15,0.8,0.8,W/T,wins,55.84415584415584,42.19178082191781,56.56565656565657,27.12328767123288,54.54545454545455,15.068493150684931,0.035616438356164376,592.7798533277986,100.0,0.13131313131313127
83,"(30,30,30,0.8,0.8,W/T,wins)",30,30,30,0.8,0.8,W/T,wins,55.26315789473684,20.82191780821918,55.26315789473684,20.82191780821918,,0.0,0.021917808219178107,573.4534967555876,100.0,0.10526315789473695
