summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria2,criteria3,proyected_part_above
"(7,7,7,0.8,0.8,W/L,earnings)",7,7,7,0.8,0.8,W/L,earnings,66.66666666666667,13.150684931506849,72.97297297297297,10.136986301369864,45.45454545454545,3.0136986301369864,0.04657534246575343,0.23287671232876717,739.8667160310996,50.684931506849324
"(7,7,7,0.8,0.8,T/L,earnings)",7,7,7,0.8,0.8,T/L,earnings,66.66666666666667,13.150684931506849,72.97297297297297,10.136986301369864,45.45454545454545,3.0136986301369864,0.04657534246575343,0.23287671232876717,739.8667160310996,50.684931506849324
"(7,7,7,1.2,1.2,W/L,wins)",7,7,7,1.2,1.2,W/L,wins,68.18181818181819,12.054794520547944,71.05263157894737,10.41095890410959,50.0,1.643835616438356,0.04383561643835617,0.21917808219178084,720.9372746935834,52.05479452054795
"(7,7,7,0.8,0.8,W/T,earnings)",7,7,7,0.8,0.8,W/T,earnings,65.3061224489796,13.424657534246576,71.05263157894737,10.41095890410959,45.45454545454545,3.0136986301369864,0.04383561643835617,0.21917808219178084,720.9372746935834,52.05479452054795
"(7,7,7,0.8,0.8,W-L,earnings)",7,7,7,0.8,0.8,W-L,earnings,65.3061224489796,13.424657534246576,71.05263157894737,10.41095890410959,45.45454545454545,3.0136986301369864,0.04383561643835617,0.21917808219178084,720.9372746935834,52.05479452054795
"(7,7,7,1.2,1.2,T/L,wins)",7,7,7,1.2,1.2,T/L,wins,68.18181818181819,12.054794520547944,71.05263157894737,10.41095890410959,50.0,1.643835616438356,0.04383561643835617,0.21917808219178084,720.9372746935834,52.05479452054795
"(7,7,7,1.2,1.2,W-L,wins)",7,7,7,1.2,1.2,W-L,wins,70.73170731707317,11.232876712328768,70.73170731707317,11.232876712328768,,0.0,0.04657534246575345,0.23287671232876722,718.5499498830605,56.16438356164384
"(7,7,7,1.2,1.2,W/T,wins)",7,7,7,1.2,1.2,W/T,wins,67.34693877551021,13.424657534246576,70.0,10.95890410958904,55.55555555555556,2.4657534246575343,0.04383561643835618,0.2191780821917809,710.9589041095891,54.794520547945204
"(7,7,7,0.8,0.8,W-L,wins)",7,7,7,0.8,0.8,W-L,wins,69.56521739130434,12.602739726027398,68.88888888888889,12.32876712328767,100.0,0.273972602739726,0.04657534246575342,0.23287671232876714,701.2176560121766,61.64383561643835
"(7,7,7,0.4,0.4,W/T,earnings)",7,7,7,0.4,0.4,W/T,earnings,63.63636363636363,18.08219178082192,68.75,13.150684931506849,50.0,4.931506849315069,0.04931506849315068,0.2465753424657534,700.6506849315068,65.75342465753424
"(7,7,7,0.4,0.4,T/L,earnings)",7,7,7,0.4,0.4,T/L,earnings,64.0625,17.534246575342465,68.75,13.150684931506849,50.0,4.383561643835616,0.04931506849315068,0.2465753424657534,700.6506849315068,65.75342465753424
"(7,7,7,0.4,0.4,W/L,earnings)",7,7,7,0.4,0.4,W/L,earnings,64.0625,17.534246575342465,68.75,13.150684931506849,50.0,4.383561643835616,0.04931506849315068,0.2465753424657534,700.6506849315068,65.75342465753424
"(7,7,7,0.4,0.4,W-L,earnings)",7,7,7,0.4,0.4,W-L,earnings,63.07692307692308,17.80821917808219,68.75,13.150684931506849,47.05882352941177,4.657534246575342,0.04931506849315068,0.2465753424657534,700.6506849315068,65.75342465753424
"(7,7,7,0.8,0.8,W/T,wins)",7,7,7,0.8,0.8,W/T,wins,65.57377049180327,16.71232876712329,68.08510638297872,12.876712328767123,57.142857142857146,3.835616438356164,0.04657534246575342,0.2328767123287671,693.7277761585543,64.38356164383562
"(7,7,7,0.4,0.4,W-L,wins)",7,7,7,0.4,0.4,W-L,wins,52.67175572519084,35.89041095890411,67.85714285714286,15.342465753424657,41.333333333333336,20.54794520547945,0.054794520547945216,0.27397260273972607,693.9138943248533,76.71232876712328
"(7,7,7,0.8,0.8,T/L,wins)",7,7,7,0.8,0.8,T/L,wins,66.0377358490566,14.52054794520548,67.44186046511628,11.780821917808218,60.0,2.73972602739726,0.041095890410958895,0.2054794520547945,686.199426568971,58.90410958904109
"(7,7,7,0.8,0.8,W/L,wins)",7,7,7,0.8,0.8,W/L,wins,66.0377358490566,14.52054794520548,67.44186046511628,11.780821917808218,60.0,2.73972602739726,0.041095890410958895,0.2054794520547945,686.199426568971,58.90410958904109
"(7,7,7,0.4,0.4,W/T,wins)",7,7,7,0.4,0.4,W/T,wins,60.0,26.02739726027397,67.21311475409836,16.71232876712329,47.05882352941177,9.315068493150685,0.05753424657534246,0.2876712328767123,688.8434763081068,83.56164383561645
"(7,7,7,0.4,0.4,T/L,wins)",7,7,7,0.4,0.4,T/L,wins,62.19512195121951,22.46575342465753,66.66666666666667,15.616438356164384,52.0,6.849315068493151,0.05205479452054797,0.2602739726027398,682.2831050228311,78.08219178082192
