summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria2,criteria3,proyected_part_above
"(60,60,60,0.8,0.8,W/L,wins)",60,60,60,0.8,0.8,W/L,wins,52.67857142857143,30.68493150684932,66.66666666666667,10.684931506849315,45.2054794520548,20.0,0.035616438356164404,0.17808219178082202,677.3515981735161,53.42465753424658
"(60,60,60,0.8,0.8,T/L,wins)",60,60,60,0.8,0.8,T/L,wins,52.67857142857143,30.68493150684932,66.66666666666667,10.684931506849315,45.2054794520548,20.0,0.035616438356164404,0.17808219178082202,677.3515981735161,53.42465753424658
"(30,30,30,0.4,0.4,W/T,wins)",30,30,30,0.4,0.4,W/T,wins,50.0,60.821917808219176,65.4320987654321,22.19178082191781,41.13475177304964,38.63013698630137,0.06849315068493153,0.308641975308642,676.5127684762389,100.0
"(30,30,30,0.4,0.4,W-L,wins)",30,30,30,0.4,0.4,W-L,wins,49.55357142857143,61.36986301369863,63.75,21.91780821917808,41.66666666666666,39.45205479452055,0.06027397260273975,0.27500000000000013,659.417808219178,100.0
"(15,15,15,0.4,0.4,W-L,wins)",15,15,15,0.4,0.4,W-L,wins,53.26086956521739,25.2054794520548,62.22222222222222,12.32876712328767,44.680851063829785,12.876712328767123,0.030136986301369864,0.15068493150684933,634.5509893455098,61.64383561643835
"(15,15,15,0.8,0.8,T/L,wins)",15,15,15,0.8,0.8,T/L,wins,56.52173913043478,18.90410958904109,60.0,13.6986301369863,47.36842105263158,5.205479452054795,0.027397260273972594,0.13698630136986295,613.6986301369863,68.49315068493149
"(60,60,60,0.4,0.4,T/L,wins)",60,60,60,0.4,0.4,T/L,wins,46.82539682539682,69.04109589041096,60.0,16.438356164383563,42.708333333333336,52.602739726027394,0.03287671232876712,0.16438356164383558,616.4383561643835,82.19178082191782
"(15,15,15,0.8,0.8,W/L,wins)",15,15,15,0.8,0.8,W/L,wins,56.52173913043478,18.90410958904109,60.0,13.6986301369863,47.36842105263158,5.205479452054795,0.027397260273972594,0.13698630136986295,613.6986301369863,68.49315068493149
"(60,60,60,0.4,0.4,W/L,wins)",60,60,60,0.4,0.4,W/L,wins,46.82539682539682,69.04109589041096,60.0,16.438356164383563,42.708333333333336,52.602739726027394,0.03287671232876712,0.16438356164383558,616.4383561643835,82.19178082191782
"(15,15,15,0.4,0.4,W/T,wins)",15,15,15,0.4,0.4,W/T,wins,53.191489361702125,25.753424657534246,59.57446808510638,12.876712328767123,46.80851063829788,12.876712328767123,0.024657534246575335,0.12328767123287668,608.6213931798309,64.38356164383562
