Unnamed: 0,summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria3,proyected_part_above,criteria2
3,"(7,7,7,0.4,0.4,W-L,earnings)",7,7,7,0.4,0.4,W-L,earnings,65.21739130434783,18.90410958904109,72.91666666666667,13.150684931506849,47.61904761904762,5.753424657534247,0.06027397260273974,742.3173515981736,65.75342465753424,0.3013698630136987
21,"(7,7,7,0.8,0.8,W/T,wins)",7,7,7,0.8,0.8,W/T,wins,67.1875,17.534246575342465,72.54901960784314,13.972602739726028,46.15384615384615,3.5616438356164384,0.06301369863013698,739.4627988181574,69.86301369863014,0.3150684931506849
1,"(7,7,7,0.4,0.4,W-L,wins)",7,7,7,0.4,0.4,W-L,wins,65.33333333333333,20.54794520547945,72.22222222222223,14.794520547945206,47.61904761904762,5.753424657534247,0.06575342465753428,737.0167427701675,73.97260273972603,0.32876712328767144
17,"(7,7,7,0.8,0.8,W/T,earnings)",7,7,7,0.8,0.8,W/T,earnings,63.9344262295082,16.71232876712329,71.73913043478261,12.602739726027398,40.0,4.109589041095891,0.0547945205479452,729.9940440738535,63.013698630136986,0.27397260273972596
22,"(7,7,7,0.8,0.8,W-L,earnings)",7,7,7,0.8,0.8,W-L,earnings,63.333333333333336,16.438356164383563,71.73913043478261,12.602739726027398,35.714285714285715,3.835616438356164,0.0547945205479452,729.9940440738535,63.013698630136986,0.27397260273972596
13,"(7,7,7,0.8,0.8,W/L,earnings)",7,7,7,0.8,0.8,W/L,earnings,64.40677966101696,16.164383561643834,71.73913043478261,12.602739726027398,38.46153846153846,3.5616438356164384,0.0547945205479452,729.9940440738535,63.013698630136986,0.27397260273972596
12,"(7,7,7,0.8,0.8,T/L,earnings)",7,7,7,0.8,0.8,T/L,earnings,64.40677966101696,16.164383561643834,71.73913043478261,12.602739726027398,38.46153846153846,3.5616438356164384,0.0547945205479452,729.9940440738535,63.013698630136986,0.27397260273972596
2,"(7,7,7,0.4,0.4,W/T,wins)",7,7,7,0.4,0.4,W/T,wins,65.78947368421052,20.82191780821918,71.66666666666667,16.438356164383563,43.75,4.383561643835616,0.07123287671232878,733.1050228310503,82.19178082191782,0.35616438356164387
15,"(7,7,7,0.8,0.8,W-L,wins)",7,7,7,0.8,0.8,W-L,wins,63.793103448275865,15.89041095890411,71.42857142857143,11.506849315068491,43.75,4.383561643835616,0.049315068493150684,725.7925636007828,57.53424657534246,0.24657534246575344
0,"(7,7,7,0.4,0.4,W/L,wins)",7,7,7,0.4,0.4,W/L,wins,66.12903225806451,16.986301369863014,71.42857142857143,13.424657534246576,46.15384615384615,3.5616438356164384,0.05753424657534247,727.7103718199609,67.12328767123287,0.28767123287671237
7,"(7,7,7,0.4,0.4,T/L,wins)",7,7,7,0.4,0.4,T/L,wins,66.12903225806451,16.986301369863014,71.42857142857143,13.424657534246576,46.15384615384615,3.5616438356164384,0.05753424657534247,727.7103718199609,67.12328767123287,0.28767123287671237
19,"(7,7,7,1.2,1.2,W/T,wins)",7,7,7,1.2,1.2,W/T,wins,65.95744680851064,12.876712328767123,70.73170731707317,11.232876712328768,33.333333333333336,1.643835616438356,0.04657534246575345,718.5499498830605,56.16438356164384,0.23287671232876722
6,"(7,7,7,0.4,0.4,T/L,earnings)",7,7,7,0.4,0.4,T/L,earnings,63.07692307692308,17.80821917808219,69.38775510204081,13.424657534246576,43.75,4.383561643835616,0.052054794520547946,707.3022085546547,67.12328767123287,0.2602739726027397
10,"(7,7,7,0.4,0.4,W/L,earnings)",7,7,7,0.4,0.4,W/L,earnings,63.07692307692308,17.80821917808219,69.38775510204081,13.424657534246576,43.75,4.383561643835616,0.052054794520547946,707.3022085546547,67.12328767123287,0.2602739726027397
4,"(7,7,7,0.4,0.4,W/T,earnings)",7,7,7,0.4,0.4,W/T,earnings,63.07692307692308,17.80821917808219,69.38775510204081,13.424657534246576,43.75,4.383561643835616,0.052054794520547946,707.3022085546547,67.12328767123287,0.2602739726027397
39,"(15,15,15,0.8,0.8,W/L,earnings)",15,15,15,0.8,0.8,W/L,earnings,51.96078431372549,27.945205479452056,68.29268292682927,11.232876712328768,40.98360655737705,16.71232876712329,0.04109589041095892,694.1597059806215,56.16438356164384,0.2054794520547946
55,"(15,15,15,1.2,1.2,W/T,wins)",15,15,15,1.2,1.2,W/T,wins,66.66666666666667,16.438356164383563,68.29268292682927,11.232876712328768,63.1578947368421,5.205479452054795,0.04109589041095892,694.1597059806215,56.16438356164384,0.2054794520547946
44,"(15,15,15,0.8,0.8,T/L,earnings)",15,15,15,0.8,0.8,T/L,earnings,51.96078431372549,27.945205479452056,68.29268292682927,11.232876712328768,40.98360655737705,16.71232876712329,0.04109589041095892,694.1597059806215,56.16438356164384,0.2054794520547946
46,"(15,15,15,1.2,1.2,W-L,wins)",15,15,15,1.2,1.2,W-L,wins,68.62745098039215,13.972602739726028,67.56756756756756,10.136986301369864,71.42857142857143,3.835616438356164,0.03561643835616438,685.8126619770455,50.684931506849324,0.17808219178082194
