summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria2,criteria3,proyected_part_above
"(15,15,15,0.4,0.4,W-L,wins)",15,15,15,0.4,0.4,W-L,wins,45.39007092198582,38.63013698630137,66.66666666666667,12.32876712328767,35.416666666666664,26.301369863013697,0.04109589041095892,0.20547945205479462,678.9954337899544,61.64383561643835
"(15,15,15,0.4,0.4,W/T,wins)",15,15,15,0.4,0.4,W/T,wins,44.71544715447155,33.6986301369863,65.9090909090909,12.054794520547944,32.91139240506329,21.64383561643836,0.03835616438356163,0.19178082191780818,671.145703611457,60.27397260273972
"(60,60,60,0.4,0.4,W-L,wins)",60,60,60,0.4,0.4,W-L,wins,43.75,74.52054794520548,63.82978723404256,12.876712328767123,39.55555555555556,61.64383561643836,0.03561643835616442,0.1780821917808221,651.1745846691928,64.38356164383562
"(30,30,30,0.4,0.4,W-L,earnings)",30,30,30,0.4,0.4,W-L,earnings,44.33962264150944,58.08219178082192,63.63636363636363,15.068493150684931,37.5796178343949,43.013698630136986,0.0410958904109589,0.2054794520547945,651.4321295143213,75.34246575342466
"(30,30,30,0.4,0.4,W/T,earnings)",30,30,30,0.4,0.4,W/T,earnings,44.18604651162791,58.9041095890411,63.1578947368421,15.616438356164384,37.34177215189873,43.28767123287671,0.041095890410958895,0.20547945205479448,647.1953857245854,78.08219178082192
"(60,60,60,0.4,0.4,W/T,wins)",60,60,60,0.4,0.4,W/T,wins,42.90909090909091,75.34246575342466,61.90476190476191,11.506849315068491,39.48497854077253,63.83561643835616,0.02739726027397263,0.13698630136986314,630.5544683626877,57.53424657534246
"(30,30,30,0.4,0.4,W/L,earnings)",30,30,30,0.4,0.4,W/L,earnings,43.80952380952381,57.53424657534247,61.11111111111112,14.794520547945206,37.82051282051282,42.73972602739726,0.03287671232876717,0.16438356164383586,625.9056316590564,73.97260273972603
"(30,30,30,0.4,0.4,T/L,earnings)",30,30,30,0.4,0.4,T/L,earnings,43.80952380952381,57.53424657534247,61.11111111111112,14.794520547945206,37.82051282051282,42.73972602739726,0.03287671232876717,0.16438356164383586,625.9056316590564,73.97260273972603
"(30,30,30,0.4,0.4,W/T,wins)",30,30,30,0.4,0.4,W/T,wins,45.18828451882845,65.47945205479452,60.71428571428572,15.342465753424657,40.43715846994535,50.136986301369866,0.03287671232876715,0.16438356164383572,622.4853228962819,76.71232876712328
"(30,30,30,0.4,0.4,W-L,wins)",30,30,30,0.4,0.4,W-L,wins,44.44444444444444,66.57534246575342,60.65573770491803,16.71232876712329,39.010989010989015,49.86301369863013,0.03561643835616439,0.17808219178082196,623.2697058163036,83.56164383561645
"(60,60,60,0.8,0.8,W/L,wins)",60,60,60,0.8,0.8,W/L,wins,51.40845070422535,38.9041095890411,59.57446808510638,12.876712328767123,47.36842105263158,26.02739726027397,0.024657534246575335,0.12328767123287668,608.6213931798309,64.38356164383562
"(60,60,60,0.8,0.8,T/L,wins)",60,60,60,0.8,0.8,T/L,wins,51.40845070422535,38.9041095890411,59.57446808510638,12.876712328767123,47.36842105263158,26.02739726027397,0.024657534246575335,0.12328767123287668,608.6213931798309,64.38356164383562
"(7,7,7,0.4,0.4,T/L,wins)",7,7,7,0.4,0.4,T/L,wins,56.310679611650485,28.21917808219178,58.8235294117647,23.28767123287671,44.44444444444444,4.931506849315069,0.04109589041095891,0.17647058823529416,611.5229653505238,100.0
"(7,7,7,0.4,0.4,W/L,wins)",7,7,7,0.4,0.4,W/L,wins,56.310679611650485,28.21917808219178,58.8235294117647,23.28767123287671,44.44444444444444,4.931506849315069,0.04109589041095891,0.17647058823529416,611.5229653505238,100.0
"(60,60,60,0.4,0.4,W/L,wins)",60,60,60,0.4,0.4,W/L,wins,46.15384615384615,74.79452054794521,58.57142857142857,19.17808219178082,41.87192118226601,55.61643835616438,0.032876712328767134,0.16438356164383566,604.8923679060665,95.8904109589041
"(60,60,60,0.4,0.4,T/L,wins)",60,60,60,0.4,0.4,T/L,wins,46.15384615384615,74.79452054794521,58.57142857142857,19.17808219178082,41.87192118226601,55.61643835616438,0.032876712328767134,0.16438356164383566,604.8923679060665,95.8904109589041
"(30,30,30,0.4,0.4,W/L,wins)",30,30,30,0.4,0.4,W/L,wins,45.86776859504132,66.3013698630137,58.208955223880594,18.356164383561644,41.142857142857146,47.945205479452056,0.030136986301369868,0.15068493150684936,600.4457166223676,91.78082191780823
"(30,30,30,0.4,0.4,T/L,wins)",30,30,30,0.4,0.4,T/L,wins,45.86776859504132,66.3013698630137,58.208955223880594,18.356164383561644,41.142857142857146,47.945205479452056,0.030136986301369868,0.15068493150684936,600.4457166223676,91.78082191780823
"(60,60,60,0.4,0.4,W-L,earnings)",60,60,60,0.4,0.4,W-L,earnings,44.881889763779526,69.58904109589041,58.0,13.6986301369863,41.66666666666666,55.89041095890411,0.02191780821917807,0.10958904109589034,593.6986301369863,68.49315068493149
"(60,60,60,0.4,0.4,W/T,earnings)",60,60,60,0.4,0.4,W/T,earnings,44.96124031007752,70.68493150684931,58.0,13.6986301369863,41.82692307692308,56.98630136986301,0.02191780821917807,0.10958904109589034,593.6986301369863,68.49315068493149
"(7,7,7,0.4,0.4,W-L,wins)",7,7,7,0.4,0.4,W-L,wins,53.47222222222222,39.45205479452055,56.89655172413793,31.78082191780822,39.285714285714285,7.671232876712328,0.04383561643835618,0.13793103448275867,600.7463391591875,100.0
"(60,60,60,0.4,0.4,W/L,earnings)",60,60,60,0.4,0.4,W/L,earnings,44.70588235294117,69.86301369863014,56.86274509803921,13.972602739726028,41.66666666666666,55.89041095890411,0.019178082191780816,0.09589041095890408,582.6000537201182,69.86301369863014
