Unnamed: 0,summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria3,proyected_part_above,criteria2
39,"(15,15,15,0.4,0.4,T/L,wins)",15,15,15,0.4,0.4,T/L,wins,50.99337748344371,41.36986301369863,62.96296296296296,22.19178082191781,37.142857142857146,19.17808219178082,0.057534246575342486,651.8214104515474,100.0,0.2592592592592593
47,"(15,15,15,0.4,0.4,W/L,wins)",15,15,15,0.4,0.4,W/L,wins,50.99337748344371,41.36986301369863,62.96296296296296,22.19178082191781,37.142857142857146,19.17808219178082,0.057534246575342486,651.8214104515474,100.0,0.2592592592592593
69,"(30,30,30,1.2,1.2,W-L,earnings)",30,30,30,1.2,1.2,W-L,earnings,60.0,20.54794520547945,62.5,15.342465753424657,52.63157894736842,5.205479452054795,0.038356164383561646,640.3424657534247,76.71232876712328,0.1917808219178082
116,"(60,60,60,1.6,1.6,W/T,earnings)",60,60,60,1.6,1.6,W/T,earnings,58.62068965517241,15.89041095890411,61.11111111111112,14.794520547945206,25.0,1.095890410958904,0.03287671232876717,625.9056316590564,73.97260273972603,0.16438356164383586
85,"(30,30,30,1.2,1.2,W/T,earnings)",30,30,30,1.2,1.2,W/T,earnings,57.89473684210526,20.82191780821918,60.71428571428572,15.342465753424657,50.0,5.47945205479452,0.03287671232876715,622.4853228962819,76.71232876712328,0.16438356164383572
90,"(30,30,30,0.8,0.8,W/L,earnings)",30,30,30,0.8,0.8,W/L,earnings,54.81481481481482,36.98630136986301,60.674157303370784,24.383561643835616,43.47826086956522,12.602739726027398,0.05205479452054796,631.1251346775434,100.0,0.2134831460674158
93,"(30,30,30,0.8,0.8,T/L,earnings)",30,30,30,0.8,0.8,T/L,earnings,54.81481481481482,36.98630136986301,60.674157303370784,24.383561643835616,43.47826086956522,12.602739726027398,0.05205479452054796,631.1251346775434,100.0,0.2134831460674158
123,"(60,60,60,0.4,0.4,T/L,wins)",60,60,60,0.4,0.4,T/L,wins,50.0,55.342465753424655,60.43956043956044,24.931506849315067,41.44144144144144,30.410958904109588,0.052054794520547926,629.3271112449194,100.0,0.20879120879120872
104,"(60,60,60,0.4,0.4,W/L,wins)",60,60,60,0.4,0.4,W/L,wins,50.0,55.342465753424655,60.43956043956044,24.931506849315067,41.44144144144144,30.410958904109588,0.052054794520547926,629.3271112449194,100.0,0.20879120879120872
125,"(60,60,60,1.6,1.6,W/T,wins)",60,60,60,1.6,1.6,W/T,wins,54.90196078431372,13.972602739726028,60.0,12.32876712328767,16.666666666666668,1.643835616438356,0.024657534246575335,612.3287671232877,61.64383561643835,0.12328767123287669
110,"(60,60,60,1.6,1.6,W-L,earnings)",60,60,60,1.6,1.6,W-L,earnings,57.6271186440678,16.164383561643834,60.0,15.068493150684931,25.0,1.095890410958904,0.030136986301369854,615.068493150685,75.34246575342466,0.15068493150684928
76,"(30,30,30,0.8,0.8,W/T,earnings)",30,30,30,0.8,0.8,W/T,earnings,53.90070921985816,38.63013698630137,59.57446808510638,25.753424657534246,42.5531914893617,12.876712328767123,0.04931506849315067,621.498105508598,100.0,0.1914893617021276
75,"(30,30,30,0.8,0.8,W/T,wins)",30,30,30,0.8,0.8,W/T,wins,52.06611570247934,33.15068493150685,59.45945945945946,20.273972602739725,40.42553191489362,12.876712328767123,0.03835616438356166,614.8685671973343,100.0,0.18918918918918926
68,"(30,30,30,0.8,0.8,W-L,earnings)",30,30,30,0.8,0.8,W-L,earnings,53.84615384615385,39.17808219178082,59.375,26.301369863013697,42.5531914893617,12.876712328767123,0.04931506849315068,620.0513698630137,100.0,0.1875
107,"(60,60,60,1.6,1.6,W-L,wins)",60,60,60,1.6,1.6,W-L,wins,55.223880597014926,18.356164383561644,59.25925925925926,14.794520547945206,38.46153846153846,3.5616438356164384,0.027397260273972594,607.3871131405378,73.97260273972603,0.13698630136986298
106,"(60,60,60,0.4,0.4,W-L,earnings)",60,60,60,0.4,0.4,W-L,earnings,52.52918287937743,70.41095890410959,59.09090909090909,48.21917808219178,38.27160493827161,22.19178082191781,0.08767123287671236,639.1282689912828,100.0,0.18181818181818188
101,"(60,60,60,0.4,0.4,W/L,earnings)",60,60,60,0.4,0.4,W/L,earnings,52.549019607843135,69.86301369863014,59.06432748538012,46.84931506849315,39.285714285714285,23.013698630136982,0.08493150684931508,637.4925899222943,100.0,0.18128654970760238
118,"(60,60,60,0.4,0.4,T/L,earnings)",60,60,60,0.4,0.4,T/L,earnings,52.549019607843135,69.86301369863014,59.06432748538012,46.84931506849315,39.285714285714285,23.013698630136982,0.08493150684931508,637.4925899222943,100.0,0.18128654970760238
66,"(30,30,30,0.4,0.4,W-L,wins)",30,30,30,0.4,0.4,W-L,wins,50.0,70.68493150684931,59.00621118012423,44.10958904109589,35.05154639175258,26.575342465753423,0.07945205479452064,634.1717008423382,100.0,0.1801242236024847
120,"(60,60,60,0.4,0.4,W/T,earnings)",60,60,60,0.4,0.4,W/T,earnings,52.52918287937743,70.41095890410959,58.85714285714285,47.945205479452056,39.02439024390244,22.46575342465753,0.08493150684931502,636.5166340508805,100.0,0.17714285714285705
87,"(30,30,30,0.8,0.8,W/L,wins)",30,30,30,0.8,0.8,W/L,wins,50.526315789473685,26.02739726027397,58.8235294117647,13.972602739726028,40.90909090909091,12.054794520547944,0.02465753424657535,602.207896857373,69.86301369863014,0.12328767123287675
