summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria2,criteria3,proyected_part_above
"(60,60,60,0.4,0.4,T/L,wins)",60,60,60,0.4,0.4,T/L,wins,45.893719806763286,56.71232876712329,61.90476190476191,11.506849315068491,41.81818181818182,45.2054794520548,0.02739726027397263,0.13698630136986314,630.5544683626877,57.53424657534246
"(60,60,60,0.4,0.4,W/L,wins)",60,60,60,0.4,0.4,W/L,wins,45.893719806763286,56.71232876712329,61.90476190476191,11.506849315068491,41.81818181818182,45.2054794520548,0.02739726027397263,0.13698630136986314,630.5544683626877,57.53424657534246
"(15,15,15,0.4,0.4,W/T,wins)",15,15,15,0.4,0.4,W/T,wins,54.71698113207548,29.04109589041096,60.65573770491803,16.71232876712329,46.66666666666666,12.32876712328767,0.03561643835616439,0.17808219178082196,623.2697058163036,83.56164383561645
"(15,15,15,0.4,0.4,W-L,wins)",15,15,15,0.4,0.4,W-L,wins,54.71698113207548,29.04109589041096,60.65573770491803,16.71232876712329,46.66666666666666,12.32876712328767,0.03561643835616439,0.17808219178082196,623.2697058163036,83.56164383561645
"(7,7,7,0.4,0.4,W/L,earnings)",7,7,7,0.4,0.4,W/L,earnings,44.0,27.3972602739726,59.45945945945946,10.136986301369864,34.92063492063492,17.26027397260274,0.01917808219178083,0.09589041095890417,604.7315808959645,50.684931506849324
"(7,7,7,0.4,0.4,T/L,earnings)",7,7,7,0.4,0.4,T/L,earnings,44.0,27.3972602739726,59.45945945945946,10.136986301369864,34.92063492063492,17.26027397260274,0.01917808219178083,0.09589041095890417,604.7315808959645,50.684931506849324
"(30,30,30,0.4,0.4,W-L,wins)",30,30,30,0.4,0.4,W-L,wins,48.70466321243524,52.87671232876713,59.375,17.534246575342465,43.41085271317829,35.342465753424655,0.03287671232876713,0.1643835616438356,611.2842465753424,87.67123287671232
"(30,30,30,0.4,0.4,W/T,wins)",30,30,30,0.4,0.4,W/T,wins,48.333333333333336,49.31506849315068,59.32203389830509,16.164383561643834,42.97520661157025,33.15068493150685,0.030136986301369892,0.15068493150684945,609.3847225446947,80.82191780821917
"(15,15,15,0.8,0.8,W-L,wins)",15,15,15,0.8,0.8,W-L,wins,55.072463768115945,18.90410958904109,58.53658536585366,11.232876712328768,50.0,7.671232876712328,0.01917808219178084,0.0958904109589042,596.5987303708654,56.16438356164384
"(15,15,15,0.4,0.4,W/L,wins)",15,15,15,0.4,0.4,W/L,wins,52.04081632653061,26.84931506849315,58.18181818181818,15.068493150684931,44.18604651162791,11.780821917808218,0.02465753424657533,0.12328767123287668,596.8866749688667,75.34246575342466
"(15,15,15,0.4,0.4,T/L,wins)",15,15,15,0.4,0.4,T/L,wins,52.04081632653061,26.84931506849315,58.18181818181818,15.068493150684931,44.18604651162791,11.780821917808218,0.02465753424657533,0.12328767123287668,596.8866749688667,75.34246575342466
"(7,7,7,0.4,0.4,W-L,wins)",7,7,7,0.4,0.4,W-L,wins,54.09252669039146,76.98630136986301,57.57575757575758,63.28767123287671,38.0,13.6986301369863,0.09589041095890416,0.1515151515151516,639.0452469904525,100.0
"(15,15,15,0.8,0.8,W/T,wins)",15,15,15,0.8,0.8,W/T,wins,54.54545454545455,18.08219178082192,56.75675675675676,10.136986301369864,51.72413793103448,7.945205479452055,0.013698630136986299,0.0684931506849315,577.7045538689375,50.684931506849324
"(30,30,30,0.4,0.4,W/L,wins)",30,30,30,0.4,0.4,W/L,wins,47.05882352941177,55.89041095890411,56.52173913043478,18.90410958904109,42.22222222222222,36.98630136986301,0.02465753424657532,0.12328767123287662,584.1215008933889,94.52054794520546
