summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria2,criteria3,proyected_part_above
"(7,7,7,0.4,0.4,W/L,wins)",7,7,7,0.4,0.4,W/L,wins,65.97938144329896,26.575342465753423,68.83116883116882,21.095890410958905,55.0,5.47945205479452,0.07945205479452051,0.3766233766233764,709.4075787226471,100.0
"(7,7,7,0.4,0.4,T/L,wins)",7,7,7,0.4,0.4,T/L,wins,65.97938144329896,26.575342465753423,68.83116883116882,21.095890410958905,55.0,5.47945205479452,0.07945205479452051,0.3766233766233764,709.4075787226471,100.0
"(7,7,7,0.4,0.4,W-L,wins)",7,7,7,0.4,0.4,W-L,wins,65.13761467889908,29.863013698630137,68.6046511627907,23.56164383561644,52.17391304347826,6.301369863013699,0.08767123287671238,0.37209302325581417,709.6081554635234,100.0
"(30,30,30,0.4,0.4,W/T,wins)",30,30,30,0.4,0.4,W/T,wins,47.25738396624472,64.93150684931507,67.21311475409836,16.71232876712329,40.34090909090909,48.21917808219178,0.05753424657534246,0.2876712328767123,688.8434763081068,83.56164383561645
"(30,30,30,0.4,0.4,W-L,wins)",30,30,30,0.4,0.4,W-L,wins,47.5,65.75342465753425,65.15151515151516,18.08219178082192,40.80459770114943,47.67123287671233,0.05479452054794524,0.2739726027397262,669.5973432959735,90.41095890410959
"(60,60,60,0.4,0.4,W-L,wins)",60,60,60,0.4,0.4,W-L,wins,45.45454545454545,72.32876712328768,63.41463414634146,11.232876712328768,42.15246636771301,61.0958904109589,0.030136986301369868,0.15068493150684933,645.3792181757434,56.16438356164384
"(30,30,30,0.4,0.4,T/L,earnings)",30,30,30,0.4,0.4,T/L,earnings,47.2972972972973,40.54794520547945,62.71186440677966,16.164383561643834,37.07865168539326,24.383561643835616,0.0410958904109589,0.20547945205479448,643.2830276294404,80.82191780821917
"(30,30,30,0.4,0.4,W/L,earnings)",30,30,30,0.4,0.4,W/L,earnings,47.2972972972973,40.54794520547945,62.71186440677966,16.164383561643834,37.07865168539326,24.383561643835616,0.0410958904109589,0.20547945205479448,643.2830276294404,80.82191780821917
"(60,60,60,0.4,0.4,T/L,wins)",60,60,60,0.4,0.4,T/L,wins,49.04214559386973,71.5068493150685,62.65060240963855,22.73972602739726,42.69662921348315,48.76712328767123,0.05753424657534248,0.2530120481927711,649.2457501237828,100.0
"(60,60,60,0.4,0.4,W/L,wins)",60,60,60,0.4,0.4,W/L,wins,49.04214559386973,71.5068493150685,62.65060240963855,22.73972602739726,42.69662921348315,48.76712328767123,0.05753424657534248,0.2530120481927711,649.2457501237828,100.0
"(30,30,30,0.4,0.4,W-L,earnings)",30,30,30,0.4,0.4,W-L,earnings,46.30872483221477,40.821917808219176,61.66666666666666,16.438356164383563,35.95505617977528,24.383561643835616,0.03835616438356162,0.1917808219178081,633.1050228310501,82.19178082191782
"(30,30,30,0.4,0.4,T/L,wins)",30,30,30,0.4,0.4,T/L,wins,46.82539682539682,69.04109589041096,61.44578313253012,22.73972602739726,39.64497041420118,46.3013698630137,0.05205479452054794,0.22891566265060237,637.1975573526985,100.0
"(30,30,30,0.4,0.4,W/L,wins)",30,30,30,0.4,0.4,W/L,wins,46.82539682539682,69.04109589041096,61.44578313253012,22.73972602739726,39.64497041420118,46.3013698630137,0.05205479452054794,0.22891566265060237,637.1975573526985,100.0
"(7,7,7,0.4,0.4,W/T,wins)",7,7,7,0.4,0.4,W/T,wins,59.31372549019608,55.89041095890411,60.10928961748634,50.136986301369866,52.38095238095238,5.753424657534247,0.10136986301369864,0.20218579234972678,651.2298824762333,100.0
"(15,15,15,0.4,0.4,W-L,wins)",15,15,15,0.4,0.4,W-L,wins,49.23076923076923,53.42465753424658,59.78260869565217,25.2054794520548,39.80582524271845,28.21917808219178,0.0493150684931507,0.19565217391304346,623.0315664085765,100.0
"(30,30,30,0.4,0.4,W/T,earnings)",30,30,30,0.4,0.4,W/T,earnings,44.84848484848485,45.2054794520548,59.67741935483871,16.986301369863014,35.922330097087375,28.21917808219178,0.032876712328767134,0.16438356164383566,613.7604949182501,84.93150684931507
"(60,60,60,0.8,0.8,W/L,wins)",60,60,60,0.8,0.8,W/L,wins,50.354609929078016,38.63013698630137,59.64912280701754,15.616438356164384,44.04761904761905,23.013698630136982,0.030136986301369854,0.15068493150684928,612.1076664263398,78.08219178082192
"(60,60,60,0.8,0.8,T/L,wins)",60,60,60,0.8,0.8,T/L,wins,50.354609929078016,38.63013698630137,59.64912280701754,15.616438356164384,44.04761904761905,23.013698630136982,0.030136986301369854,0.15068493150684928,612.1076664263398,78.08219178082192
"(15,15,15,1.2,1.2,W/L,wins)",15,15,15,1.2,1.2,W/L,wins,59.09090909090909,12.054794520547944,59.45945945945946,10.136986301369864,57.142857142857146,1.917808219178082,0.01917808219178083,0.09589041095890417,604.7315808959645,50.684931506849324
"(15,15,15,1.2,1.2,T/L,wins)",15,15,15,1.2,1.2,T/L,wins,59.09090909090909,12.054794520547944,59.45945945945946,10.136986301369864,57.142857142857146,1.917808219178082,0.01917808219178083,0.09589041095890417,604.7315808959645,50.684931506849324
"(15,15,15,0.4,0.4,W/T,wins)",15,15,15,0.4,0.4,W/T,wins,50.0,53.6986301369863,58.333333333333336,26.301369863013697,42.0,27.3972602739726,0.04383561643835618,0.16666666666666674,609.6347031963471,100.0
"(15,15,15,0.4,0.4,T/L,wins)",15,15,15,0.4,0.4,T/L,wins,45.859872611464965,43.013698630136986,57.6271186440678,16.164383561643834,38.775510204081634,26.84931506849315,0.02465753424657535,0.12328767123287673,592.4355700023218,80.82191780821917
"(15,15,15,0.4,0.4,W/L,wins)",15,15,15,0.4,0.4,W/L,wins,45.859872611464965,43.013698630136986,57.6271186440678,16.164383561643834,38.775510204081634,26.84931506849315,0.02465753424657535,0.12328767123287673,592.4355700023218,80.82191780821917
"(60,60,60,0.4,0.4,W/T,wins)",60,60,60,0.4,0.4,W/T,wins,44.3609022556391,72.87671232876713,57.5,10.95890410958904,42.0353982300885,61.917808219178085,0.016438356164383574,0.08219178082191787,585.9589041095891,54.794520547945204
"(15,15,15,0.8,0.8,W-L,wins)",15,15,15,0.8,0.8,W-L,wins,48.14814814814815,22.19178082191781,56.75675675675676,10.136986301369864,40.90909090909091,12.054794520547944,0.013698630136986299,0.0684931506849315,577.7045538689375,50.684931506849324
"(15,15,15,0.8,0.8,W/T,wins)",15,15,15,0.8,0.8,W/T,wins,48.52941176470589,18.63013698630137,56.75675675675676,10.136986301369864,38.70967741935484,8.493150684931507,0.013698630136986299,0.0684931506849315,577.7045538689375,50.684931506849324
"(30,30,30,1.2,1.2,T/L,wins)",30,30,30,1.2,1.2,T/L,wins,56.41025641025641,10.684931506849315,56.41025641025641,10.684931506849315,,0.0,0.0136986301369863,0.0684931506849315,574.7874956094134,53.42465753424658
"(30,30,30,1.2,1.2,W/L,wins)",30,30,30,1.2,1.2,W/L,wins,56.41025641025641,10.684931506849315,56.41025641025641,10.684931506849315,,0.0,0.0136986301369863,0.0684931506849315,574.7874956094134,53.42465753424658
"(30,30,30,0.8,0.8,W/L,wins)",30,30,30,0.8,0.8,W/L,wins,46.31578947368421,26.02739726027397,55.55555555555556,14.794520547945206,34.14634146341464,11.232876712328768,0.01643835616438357,0.08219178082191786,570.3500761035008,73.97260273972603
"(30,30,30,0.8,0.8,T/L,wins)",30,30,30,0.8,0.8,T/L,wins,46.31578947368421,26.02739726027397,55.55555555555556,14.794520547945206,34.14634146341464,11.232876712328768,0.01643835616438357,0.08219178082191786,570.3500761035008,73.97260273972603
"(15,15,15,0.8,0.8,W/L,wins)",15,15,15,0.8,0.8,W/L,wins,52.30769230769231,17.80821917808219,54.34782608695652,12.602739726027398,47.36842105263158,5.205479452054795,0.010958904109589062,0.054794520547945307,556.0810005955926,63.013698630136986
"(15,15,15,0.8,0.8,T/L,wins)",15,15,15,0.8,0.8,T/L,wins,52.30769230769231,17.80821917808219,54.34782608695652,12.602739726027398,47.36842105263158,5.205479452054795,0.010958904109589062,0.054794520547945307,556.0810005955926,63.013698630136986
"(15,15,15,0.4,0.4,W/T,earnings)",15,15,15,0.4,0.4,W/T,earnings,45.67901234567901,44.38356164383562,53.42465753424658,20.0,39.325842696629216,24.383561643835616,0.013698630136986313,0.06849315068493156,554.2465753424658,100.0
"(15,15,15,0.4,0.4,W/L,earnings)",15,15,15,0.4,0.4,W/L,earnings,45.283018867924525,43.56164383561644,52.85714285714285,19.17808219178082,39.325842696629216,24.383561643835616,0.010958904109589001,0.05479452054794501,547.7495107632093,95.8904109589041
"(15,15,15,0.4,0.4,T/L,earnings)",15,15,15,0.4,0.4,T/L,earnings,45.283018867924525,43.56164383561644,52.85714285714285,19.17808219178082,39.325842696629216,24.383561643835616,0.010958904109589001,0.05479452054794501,547.7495107632093,95.8904109589041
"(15,15,15,0.4,0.4,W-L,earnings)",15,15,15,0.4,0.4,W-L,earnings,45.0,43.83561643835616,52.11267605633803,19.45205479452055,39.325842696629216,24.383561643835616,0.008219178082191813,0.04109589041095907,540.5788153579009,97.26027397260275
