summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria2,criteria3,proyected_part_above
"(60,60,60,0.4,0.4,W-L,wins)",60,60,60,0.4,0.4,W-L,wins,59.11602209944751,99.17808219178082,59.59885386819485,95.61643835616438,46.15384615384615,3.5616438356164384,0.1835616438356167,0.19197707736389713,691.6049770381129,100
"(60,60,60,1.6,1.6,W-L,wins)",60,60,60,1.6,1.6,W-L,wins,59.11602209944751,99.17808219178082,59.59885386819485,95.61643835616438,46.15384615384615,3.5616438356164384,0.1835616438356167,0.19197707736389713,691.6049770381129,100
"(60,60,60,0.8,0.8,W-L,wins)",60,60,60,0.8,0.8,W-L,wins,59.11602209944751,99.17808219178082,59.59885386819485,95.61643835616438,46.15384615384615,3.5616438356164384,0.1835616438356167,0.19197707736389713,691.6049770381129,100
"(60,60,60,1.2,1.2,W-L,wins)",60,60,60,1.2,1.2,W-L,wins,59.11602209944751,99.17808219178082,59.59885386819485,95.61643835616438,46.15384615384615,3.5616438356164384,0.1835616438356167,0.19197707736389713,691.6049770381129,100
"(60,60,60,0.4,0.4,T/L,wins)",60,60,60,0.4,0.4,T/L,wins,59.06593406593407,99.72602739726028,59.54415954415954,96.16438356164385,46.15384615384615,3.5616438356164384,0.18356164383561652,0.19088319088319095,691.6059790032392,100
"(60,60,60,1.6,1.6,T/L,wins)",60,60,60,1.6,1.6,T/L,wins,59.06593406593407,99.72602739726028,59.54415954415954,96.16438356164385,46.15384615384615,3.5616438356164384,0.18356164383561652,0.19088319088319095,691.6059790032392,100
"(60,60,60,0.8,0.8,W/L,wins)",60,60,60,0.8,0.8,W/L,wins,59.06593406593407,99.72602739726028,59.54415954415954,96.16438356164385,46.15384615384615,3.5616438356164384,0.18356164383561652,0.19088319088319095,691.6059790032392,100
"(60,60,60,1.2,1.2,W/L,wins)",60,60,60,1.2,1.2,W/L,wins,59.06593406593407,99.72602739726028,59.54415954415954,96.16438356164385,46.15384615384615,3.5616438356164384,0.18356164383561652,0.19088319088319095,691.6059790032392,100
"(60,60,60,0.8,0.8,T/L,wins)",60,60,60,0.8,0.8,T/L,wins,59.06593406593407,99.72602739726028,59.54415954415954,96.16438356164385,46.15384615384615,3.5616438356164384,0.18356164383561652,0.19088319088319095,691.6059790032392,100
"(60,60,60,0.4,0.4,W/L,wins)",60,60,60,0.4,0.4,W/L,wins,59.06593406593407,99.72602739726028,59.54415954415954,96.16438356164385,46.15384615384615,3.5616438356164384,0.18356164383561652,0.19088319088319095,691.6059790032392,100
"(60,60,60,1.6,1.6,W/L,wins)",60,60,60,1.6,1.6,W/L,wins,59.06593406593407,99.72602739726028,59.54415954415954,96.16438356164385,46.15384615384615,3.5616438356164384,0.18356164383561652,0.19088319088319095,691.6059790032392,100
"(60,60,60,1.2,1.2,T/L,wins)",60,60,60,1.2,1.2,T/L,wins,59.06593406593407,99.72602739726028,59.54415954415954,96.16438356164385,46.15384615384615,3.5616438356164384,0.18356164383561652,0.19088319088319095,691.6059790032392,100
"(30,30,30,1.2,1.2,W/T,earnings)",30,30,30,1.2,1.2,W/T,earnings,58.79120879120879,99.72602739726028,59.48275862068966,95.34246575342466,43.75,4.383561643835616,0.18082191780821924,0.18965517241379315,690.1700519603213,100
"(30,30,30,1.6,1.6,W/L,earnings)",30,30,30,1.6,1.6,W/L,earnings,58.79120879120879,99.72602739726028,59.48275862068966,95.34246575342466,43.75,4.383561643835616,0.18082191780821924,0.18965517241379315,690.1700519603213,100
"(30,30,30,0.8,0.8,W-L,earnings)",30,30,30,0.8,0.8,W-L,earnings,58.79120879120879,99.72602739726028,59.48275862068966,95.34246575342466,43.75,4.383561643835616,0.18082191780821924,0.18965517241379315,690.1700519603213,100
"(30,30,30,1.6,1.6,T/L,earnings)",30,30,30,1.6,1.6,T/L,earnings,58.79120879120879,99.72602739726028,59.48275862068966,95.34246575342466,43.75,4.383561643835616,0.18082191780821924,0.18965517241379315,690.1700519603213,100
"(30,30,30,1.6,1.6,W/T,earnings)",30,30,30,1.6,1.6,W/T,earnings,58.79120879120879,99.72602739726028,59.48275862068966,95.34246575342466,43.75,4.383561643835616,0.18082191780821924,0.18965517241379315,690.1700519603213,100
"(30,30,30,0.8,0.8,W/T,earnings)",30,30,30,0.8,0.8,W/T,earnings,58.79120879120879,99.72602739726028,59.48275862068966,95.34246575342466,43.75,4.383561643835616,0.18082191780821924,0.18965517241379315,690.1700519603213,100
"(30,30,30,1.2,1.2,T/L,earnings)",30,30,30,1.2,1.2,T/L,earnings,58.79120879120879,99.72602739726028,59.48275862068966,95.34246575342466,43.75,4.383561643835616,0.18082191780821924,0.18965517241379315,690.1700519603213,100
"(30,30,30,0.8,0.8,T/L,earnings)",30,30,30,0.8,0.8,T/L,earnings,58.79120879120879,99.72602739726028,59.48275862068966,95.34246575342466,43.75,4.383561643835616,0.18082191780821924,0.18965517241379315,690.1700519603213,100
"(30,30,30,0.4,0.4,W-L,earnings)",30,30,30,0.4,0.4,W-L,earnings,58.79120879120879,99.72602739726028,59.48275862068966,95.34246575342466,43.75,4.383561643835616,0.18082191780821924,0.18965517241379315,690.1700519603213,100
"(30,30,30,1.2,1.2,W-L,earnings)",30,30,30,1.2,1.2,W-L,earnings,58.79120879120879,99.72602739726028,59.48275862068966,95.34246575342466,43.75,4.383561643835616,0.18082191780821924,0.18965517241379315,690.1700519603213,100
"(30,30,30,0.4,0.4,W/L,earnings)",30,30,30,0.4,0.4,W/L,earnings,58.79120879120879,99.72602739726028,59.48275862068966,95.34246575342466,43.75,4.383561643835616,0.18082191780821924,0.18965517241379315,690.1700519603213,100
"(30,30,30,0.4,0.4,W/T,earnings)",30,30,30,0.4,0.4,W/T,earnings,58.79120879120879,99.72602739726028,59.48275862068966,95.34246575342466,43.75,4.383561643835616,0.18082191780821924,0.18965517241379315,690.1700519603213,100
