summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria2,criteria3,proyected_part_above
"(7,7,7,0.8,0.8,W/T,wins)",7,7,7,0.8,0.8,W/T,wins,73.07692307692308,14.246575342465754,75.0,13.150684931506849,50.0,1.095890410958904,0.06575342465753424,0.3287671232876712,763.1506849315068,65.75342465753424
"(7,7,7,0.8,0.8,W/L,wins)",7,7,7,0.8,0.8,W/L,wins,72.34042553191489,12.876712328767123,75.0,12.054794520547944,33.333333333333336,0.821917808219178,0.06027397260273972,0.3013698630136986,762.054794520548,60.27397260273972
"(7,7,7,0.8,0.8,T/L,wins)",7,7,7,0.8,0.8,T/L,wins,72.34042553191489,12.876712328767123,75.0,12.054794520547944,33.333333333333336,0.821917808219178,0.06027397260273972,0.3013698630136986,762.054794520548,60.27397260273972
"(7,7,7,0.8,0.8,T/L,earnings)",7,7,7,0.8,0.8,T/L,earnings,69.23076923076923,14.246575342465754,75.0,10.95890410958904,50.0,3.287671232876712,0.0547945205479452,0.273972602739726,760.9589041095891,54.794520547945204
"(7,7,7,0.8,0.8,W/T,earnings)",7,7,7,0.8,0.8,W/T,earnings,69.23076923076923,14.246575342465754,75.0,10.95890410958904,50.0,3.287671232876712,0.0547945205479452,0.273972602739726,760.9589041095891,54.794520547945204
"(7,7,7,0.8,0.8,W/L,earnings)",7,7,7,0.8,0.8,W/L,earnings,69.23076923076923,14.246575342465754,75.0,10.95890410958904,50.0,3.287671232876712,0.0547945205479452,0.273972602739726,760.9589041095891,54.794520547945204
"(7,7,7,0.8,0.8,W-L,earnings)",7,7,7,0.8,0.8,W-L,earnings,69.23076923076923,14.246575342465754,75.0,10.95890410958904,50.0,3.287671232876712,0.0547945205479452,0.273972602739726,760.9589041095891,54.794520547945204
"(7,7,7,0.4,0.4,W-L,wins)",7,7,7,0.4,0.4,W-L,wins,51.75879396984924,54.52054794520548,74.57627118644068,16.164383561643834,42.142857142857146,38.35616438356164,0.07945205479452055,0.3972602739726027,761.9270954260506,80.82191780821917
"(7,7,7,0.8,0.8,W-L,wins)",7,7,7,0.8,0.8,W-L,wins,73.91304347826087,12.602739726027398,73.91304347826087,12.602739726027398,,0.0,0.06027397260273975,0.30136986301369867,751.7331745086361,63.013698630136986
"(7,7,7,0.4,0.4,W/T,wins)",7,7,7,0.4,0.4,W/T,wins,61.0,27.3972602739726,73.21428571428571,15.342465753424657,45.45454545454545,12.054794520547944,0.07123287671232875,0.35616438356164376,747.4853228962818,76.71232876712328
"(7,7,7,0.4,0.4,W/L,earnings)",7,7,7,0.4,0.4,W/L,earnings,65.71428571428571,19.17808219178082,73.07692307692308,14.246575342465754,44.44444444444444,4.931506849315069,0.06575342465753427,0.3287671232876713,745.0158061116966,71.23287671232876
"(7,7,7,0.4,0.4,T/L,earnings)",7,7,7,0.4,0.4,T/L,earnings,65.71428571428571,19.17808219178082,73.07692307692308,14.246575342465754,44.44444444444444,4.931506849315069,0.06575342465753427,0.3287671232876713,745.0158061116966,71.23287671232876
"(7,7,7,0.4,0.4,W/T,earnings)",7,7,7,0.4,0.4,W/T,earnings,65.71428571428571,19.17808219178082,73.07692307692308,14.246575342465754,44.44444444444444,4.931506849315069,0.06575342465753427,0.3287671232876713,745.0158061116966,71.23287671232876
"(7,7,7,0.4,0.4,W-L,earnings)",7,7,7,0.4,0.4,W-L,earnings,65.71428571428571,19.17808219178082,73.07692307692308,14.246575342465754,44.44444444444444,4.931506849315069,0.06575342465753427,0.3287671232876713,745.0158061116966,71.23287671232876
"(7,7,7,0.4,0.4,T/L,wins)",7,7,7,0.4,0.4,T/L,wins,66.66666666666667,23.013698630136982,72.72727272727273,15.068493150684931,55.172413793103445,7.945205479452055,0.06849315068493154,0.34246575342465774,742.3412204234123,75.34246575342466
"(7,7,7,0.4,0.4,W/L,wins)",7,7,7,0.4,0.4,W/L,wins,66.66666666666667,23.013698630136982,72.72727272727273,15.068493150684931,55.172413793103445,7.945205479452055,0.06849315068493154,0.34246575342465774,742.3412204234123,75.34246575342466
"(7,7,7,1.2,1.2,W/T,wins)",7,7,7,1.2,1.2,W/T,wins,69.23076923076923,10.684931506849315,70.27027027027027,10.136986301369864,50.0,0.547945205479452,0.041095890410958916,0.20547945205479462,712.8396890040726,50.684931506849324
"(7,7,7,1.2,1.2,W-L,wins)",7,7,7,1.2,1.2,W-L,wins,70.27027027027027,10.136986301369864,70.27027027027027,10.136986301369864,,0.0,0.041095890410958916,0.20547945205479462,712.8396890040726,50.684931506849324
"(15,15,15,0.4,0.4,W/T,wins)",15,15,15,0.4,0.4,W/T,wins,51.42857142857143,38.35616438356164,67.27272727272727,15.068493150684931,41.1764705882353,23.28767123287671,0.05205479452054794,0.2602739726027397,687.7957658779576,75.34246575342466
"(15,15,15,0.4,0.4,W/L,wins)",15,15,15,0.4,0.4,W/L,wins,51.51515151515152,36.16438356164384,66.07142857142857,15.342465753424657,40.78947368421053,20.82191780821918,0.049315068493150684,0.24657534246575338,676.0567514677103,76.71232876712328
"(15,15,15,0.4,0.4,T/L,wins)",15,15,15,0.4,0.4,T/L,wins,51.51515151515152,36.16438356164384,66.07142857142857,15.342465753424657,40.78947368421053,20.82191780821918,0.049315068493150684,0.24657534246575338,676.0567514677103,76.71232876712328
"(15,15,15,0.4,0.4,W/T,earnings)",15,15,15,0.4,0.4,W/T,earnings,48.99328859060402,40.821917808219176,64.58333333333333,13.150684931506849,41.58415841584159,27.671232876712327,0.03835616438356162,0.1917808219178081,658.9840182648401,65.75342465753424
"(15,15,15,0.4,0.4,W-L,wins)",15,15,15,0.4,0.4,W-L,wins,46.44808743169399,50.136986301369866,64.51612903225806,16.986301369863014,37.1900826446281,33.15068493150685,0.04931506849315068,0.2465753424657534,662.1475916924436,84.93150684931507
"(15,15,15,0.4,0.4,W-L,earnings)",15,15,15,0.4,0.4,W-L,earnings,48.63013698630137,40.0,63.82978723404256,12.876712328767123,41.41414141414141,27.12328767123288,0.03561643835616442,0.1780821917808221,651.1745846691928,64.38356164383562
"(15,15,15,0.4,0.4,W/L,earnings)",15,15,15,0.4,0.4,W/L,earnings,47.55244755244755,39.17808219178082,62.5,13.150684931506849,40.0,26.02739726027397,0.03287671232876712,0.1643835616438356,638.1506849315068,65.75342465753424
"(15,15,15,0.4,0.4,T/L,earnings)",15,15,15,0.4,0.4,T/L,earnings,47.55244755244755,39.17808219178082,62.5,13.150684931506849,40.0,26.02739726027397,0.03287671232876712,0.1643835616438356,638.1506849315068,65.75342465753424
"(30,30,30,0.4,0.4,W/T,wins)",30,30,30,0.4,0.4,W/T,wins,45.8128078817734,55.61643835616438,60.273972602739725,20.0,37.69230769230769,35.61643835616438,0.041095890410958895,0.20547945205479445,622.7397260273973,100.0
"(60,60,60,0.4,0.4,W-L,wins)",60,60,60,0.4,0.4,W-L,wins,48.78048780487805,67.3972602739726,60.0,24.65753424657534,42.30769230769231,42.73972602739726,0.04931506849315067,0.19999999999999996,624.6575342465753,100.0
"(60,60,60,0.4,0.4,W/L,wins)",60,60,60,0.4,0.4,W/L,wins,48.75,65.75342465753425,59.770114942528735,23.83561643835617,42.48366013071895,41.917808219178085,0.046575342465753455,0.1954022988505748,621.5367658636435,100.0
"(60,60,60,0.4,0.4,T/L,wins)",60,60,60,0.4,0.4,T/L,wins,48.75,65.75342465753425,59.770114942528735,23.83561643835617,42.48366013071895,41.917808219178085,0.046575342465753455,0.1954022988505748,621.5367658636435,100.0
