summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria2,criteria3,proyected_part_above
"(60,60,60,0.4,0.4,T/L,wins)",60,60,60,0.4,0.4,T/L,wins,47.6,68.4931506849315,69.76744186046511,11.780821917808218,42.99516908212561,56.71232876712329,0.04657534246575342,0.23287671232876717,709.4552405224593,58.90410958904109
"(60,60,60,0.4,0.4,W/L,wins)",60,60,60,0.4,0.4,W/L,wins,47.6,68.4931506849315,69.76744186046511,11.780821917808218,42.99516908212561,56.71232876712329,0.04657534246575342,0.23287671232876717,709.4552405224593,58.90410958904109
"(15,15,15,0.8,0.8,T/L,wins)",15,15,15,0.8,0.8,T/L,wins,58.97435897435897,21.36986301369863,67.5,10.95890410958904,50.0,10.41095890410959,0.03835616438356165,0.19178082191780826,685.9589041095891,54.794520547945204
"(15,15,15,0.8,0.8,W/L,wins)",15,15,15,0.8,0.8,W/L,wins,58.97435897435897,21.36986301369863,67.5,10.95890410958904,50.0,10.41095890410959,0.03835616438356165,0.19178082191780826,685.9589041095891,54.794520547945204
"(15,15,15,0.4,0.4,W/T,wins)",15,15,15,0.4,0.4,W/T,wins,52.980132450331126,41.36986301369863,67.44186046511628,11.780821917808218,47.22222222222222,29.58904109589041,0.041095890410958895,0.2054794520547945,686.199426568971,58.90410958904109
"(15,15,15,0.4,0.4,W-L,wins)",15,15,15,0.4,0.4,W-L,wins,51.67785234899329,40.821917808219176,65.9090909090909,12.054794520547944,45.71428571428572,28.767123287671232,0.03835616438356163,0.19178082191780818,671.145703611457,60.27397260273972
"(7,7,7,0.4,0.4,T/L,wins)",7,7,7,0.4,0.4,T/L,wins,53.211009174311926,29.863013698630137,60.563380281690144,19.45205479452055,39.47368421052632,10.41095890410959,0.041095890410958937,0.2054794520547947,625.0858576114219,97.26027397260275
"(7,7,7,0.4,0.4,W/L,wins)",7,7,7,0.4,0.4,W/L,wins,53.211009174311926,29.863013698630137,60.563380281690144,19.45205479452055,39.47368421052632,10.41095890410959,0.041095890410958937,0.2054794520547947,625.0858576114219,97.26027397260275
"(30,30,30,0.4,0.4,W-L,wins)",30,30,30,0.4,0.4,W-L,wins,47.91666666666666,52.602739726027394,59.57446808510638,12.876712328767123,44.13793103448276,39.72602739726028,0.024657534246575335,0.12328767123287668,608.6213931798309,64.38356164383562
"(15,15,15,0.4,0.4,T/L,wins)",15,15,15,0.4,0.4,T/L,wins,49.41860465116279,47.12328767123287,59.25925925925926,14.794520547945206,44.91525423728814,32.32876712328767,0.027397260273972594,0.13698630136986298,607.3871131405378,73.97260273972603
"(15,15,15,0.4,0.4,W/L,wins)",15,15,15,0.4,0.4,W/L,wins,49.41860465116279,47.12328767123287,59.25925925925926,14.794520547945206,44.91525423728814,32.32876712328767,0.027397260273972594,0.13698630136986298,607.3871131405378,73.97260273972603
"(7,7,7,0.4,0.4,W/T,wins)",7,7,7,0.4,0.4,W/T,wins,51.42857142857143,28.767123287671232,59.09090909090909,18.08219178082192,38.46153846153846,10.684931506849315,0.032876712328767134,0.1643835616438357,608.991282689913,90.41095890410959
"(30,30,30,0.4,0.4,W/T,wins)",30,30,30,0.4,0.4,W/T,wins,47.593582887700535,51.23287671232877,58.69565217391305,12.602739726027398,43.97163120567376,38.63013698630137,0.021917808219178096,0.10958904109589047,599.5592614651579,63.013698630136986
"(7,7,7,0.4,0.4,W-L,wins)",7,7,7,0.4,0.4,W-L,wins,54.58015267175573,71.78082191780823,57.142857142857146,61.36986301369863,39.47368421052632,10.41095890410959,0.08767123287671243,0.14285714285714302,632.79843444227,100.0
"(30,30,30,0.4,0.4,T/L,wins)",30,30,30,0.4,0.4,T/L,wins,44.44444444444444,61.64383561643836,55.88235294117647,18.63013698630137,39.49044585987261,43.013698630136986,0.02191780821917809,0.10958904109589043,577.4536663980662,93.15068493150685
"(30,30,30,0.4,0.4,W/L,wins)",30,30,30,0.4,0.4,W/L,wins,44.44444444444444,61.64383561643836,55.88235294117647,18.63013698630137,39.49044585987261,43.013698630136986,0.02191780821917809,0.10958904109589043,577.4536663980662,93.15068493150685
"(30,30,30,0.8,0.8,W/L,wins)",30,30,30,0.8,0.8,W/L,wins,49.35064935064935,21.095890410958905,52.94117647058823,13.972602739726028,42.30769230769231,7.123287671232877,0.008219178082191783,0.041095890410958916,543.3843674456084,69.86301369863014
"(30,30,30,0.8,0.8,T/L,wins)",30,30,30,0.8,0.8,T/L,wins,49.35064935064935,21.095890410958905,52.94117647058823,13.972602739726028,42.30769230769231,7.123287671232877,0.008219178082191783,0.041095890410958916,543.3843674456084,69.86301369863014
"(30,30,30,1.2,1.2,T/L,wins)",30,30,30,1.2,1.2,T/L,wins,50.0,12.054794520547944,51.35135135135136,10.136986301369864,42.85714285714285,1.917808219178082,0.0027397260273972776,0.01369863013698639,523.6504998148836,50.684931506849324
"(30,30,30,1.2,1.2,W/L,wins)",30,30,30,1.2,1.2,W/L,wins,50.0,12.054794520547944,51.35135135135136,10.136986301369864,42.85714285714285,1.917808219178082,0.0027397260273972776,0.01369863013698639,523.6504998148836,50.684931506849324
