summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria2
"(7,7,7,1.6,1.6,T/L,wins)",7,7,7,1.6,1.6,T/L,wins,59.09090909090909,6.027397260273973,100.0,0.547945205479452,55.0,5.47945205479452,0.005479452054794521,250.54794520547946
"(7,7,7,1.6,1.6,W/L,wins)",7,7,7,1.6,1.6,W/L,wins,59.09090909090909,6.027397260273973,100.0,0.547945205479452,55.0,5.47945205479452,0.005479452054794521,250.54794520547946
"(7,7,7,1.6,1.6,W/T,wins)",7,7,7,1.6,1.6,W/T,wins,57.142857142857146,5.753424657534247,100.0,0.273972602739726,55.0,5.47945205479452,0.0027397260273972603,250.27397260273972
"(60,60,60,0.8,0.8,W/T,wins)",60,60,60,0.8,0.8,W/T,wins,42.7536231884058,37.80821917808219,88.88888888888889,2.4657534246575343,39.53488372093023,35.342465753424655,0.019178082191780823,224.68797564687975
"(15,15,15,1.6,1.6,W-L,wins)",15,15,15,1.6,1.6,W-L,wins,70.0,8.219178082191782,87.5,4.383561643835616,50.0,3.835616438356164,0.03287671232876713,223.1335616438356
"(15,15,15,1.6,1.6,W/T,wins)",15,15,15,1.6,1.6,W/T,wins,70.0,8.219178082191782,86.66666666666667,4.109589041095891,53.333333333333336,4.109589041095891,0.030136986301369868,220.77625570776257
"(7,7,7,0.8,0.8,W/L,wins)",7,7,7,0.8,0.8,W/L,wins,69.23076923076923,10.684931506849315,84.21052631578948,5.205479452054795,55.0,5.47945205479452,0.0356164383561644,215.7317952415285
"(7,7,7,0.8,0.8,T/L,wins)",7,7,7,0.8,0.8,T/L,wins,69.23076923076923,10.684931506849315,84.21052631578948,5.205479452054795,55.0,5.47945205479452,0.0356164383561644,215.7317952415285
"(7,7,7,0.8,0.8,W/T,wins)",7,7,7,0.8,0.8,W/T,wins,65.0,10.95890410958904,83.33333333333333,4.931506849315069,50.0,6.027397260273973,0.03287671232876712,213.26484018264838
"(7,7,7,0.4,0.4,W-L,wins)",7,7,7,0.4,0.4,W-L,wins,56.13382899628253,73.6986301369863,56.90376569037657,65.47945205479452,50.0,8.219178082191782,0.09041095890410963,207.73886628073592
"(60,60,60,0.8,0.8,W-L,wins)",60,60,60,0.8,0.8,W-L,wins,42.17687074829932,40.273972602739725,80.0,2.73972602739726,39.416058394160586,37.53424657534247,0.016438356164383564,202.73972602739727
"(15,15,15,0.8,0.8,W/T,wins)",15,15,15,0.8,0.8,W/T,wins,60.0,17.80821917808219,75.86206896551724,7.945205479452055,47.22222222222222,9.863013698630136,0.041095890410958895,197.60037789324514
"(7,7,7,1.2,1.2,T/L,wins)",7,7,7,1.2,1.2,T/L,wins,62.06896551724138,7.945205479452055,77.77777777777777,2.4657534246575343,55.0,5.47945205479452,0.013698630136986299,196.91019786910195
"(7,7,7,1.2,1.2,W/L,wins)",7,7,7,1.2,1.2,W/L,wins,62.06896551724138,7.945205479452055,77.77777777777777,2.4657534246575343,55.0,5.47945205479452,0.013698630136986299,196.91019786910195
"(15,15,15,1.2,1.2,W/T,wins)",15,15,15,1.2,1.2,W/T,wins,63.265306122448976,13.424657534246576,76.0,6.849315068493151,50.0,6.575342465753424,0.03561643835616439,196.84931506849315
"(15,15,15,1.2,1.2,W-L,wins)",15,15,15,1.2,1.2,W-L,wins,63.82978723404256,12.876712328767123,76.0,6.849315068493151,50.0,6.027397260273973,0.03561643835616439,196.84931506849315
"(60,60,60,0.4,0.4,W-L,wins)",60,60,60,0.4,0.4,W-L,wins,46.92982456140351,62.465753424657535,75.0,8.767123287671232,42.3469387755102,53.6986301369863,0.043835616438356165,196.26712328767124
"(15,15,15,1.6,1.6,W/L,wins)",15,15,15,1.6,1.6,W/L,wins,70.0,8.219178082191782,76.19047619047619,5.753424657534247,55.55555555555556,2.4657534246575343,0.03013698630136986,196.22961513372474
"(7,7,7,0.8,0.8,W-L,wins)",7,7,7,0.8,0.8,W-L,wins,65.85365853658537,11.232876712328768,76.19047619047619,5.753424657534247,55.0,5.47945205479452,0.03013698630136986,196.22961513372474
"(15,15,15,1.6,1.6,T/L,wins)",15,15,15,1.6,1.6,T/L,wins,70.0,8.219178082191782,76.19047619047619,5.753424657534247,55.55555555555556,2.4657534246575343,0.03013698630136986,196.22961513372474
"(7,7,7,1.2,1.2,W-L,wins)",7,7,7,1.2,1.2,W-L,wins,63.63636363636363,9.04109589041096,76.92307692307692,3.5616438356164384,55.0,5.47945205479452,0.019178082191780816,195.86933614330874
"(15,15,15,1.2,1.2,T/L,wins)",15,15,15,1.2,1.2,T/L,wins,66.66666666666667,10.684931506849315,75.0,7.671232876712328,45.45454545454545,3.0136986301369864,0.038356164383561646,195.17123287671234
"(15,15,15,1.2,1.2,W/L,wins)",15,15,15,1.2,1.2,W/L,wins,66.66666666666667,10.684931506849315,75.0,7.671232876712328,45.45454545454545,3.0136986301369864,0.038356164383561646,195.17123287671234
"(15,15,15,0.8,0.8,W-L,wins)",15,15,15,0.8,0.8,W-L,wins,61.76470588235294,18.63013698630137,73.33333333333333,8.219178082191782,52.63157894736842,10.41095890410959,0.03835616438356164,191.5525114155251
"(7,7,7,0.4,0.4,W/T,wins)",7,7,7,0.4,0.4,W/T,wins,55.88235294117647,55.89041095890411,57.47126436781609,47.67123287671233,46.66666666666666,8.219178082191782,0.07123287671232874,191.34939379625257
"(30,30,30,1.6,1.6,W/T,wins)",30,30,30,1.6,1.6,W/T,wins,68.96551724137932,7.945205479452055,75.0,3.287671232876712,64.70588235294117,4.657534246575342,0.01643835616438356,190.7876712328767
"(30,30,30,1.6,1.6,W/T,earnings)",30,30,30,1.6,1.6,W/T,earnings,68.75,4.383561643835616,75.0,2.191780821917808,62.5,2.191780821917808,0.010958904109589041,189.6917808219178
"(7,7,7,1.2,1.2,W/T,wins)",7,7,7,1.2,1.2,W/T,wins,58.62068965517241,7.945205479452055,75.0,2.191780821917808,52.38095238095238,5.753424657534247,0.010958904109589041,189.6917808219178
"(7,7,7,1.6,1.6,W-L,wins)",7,7,7,1.6,1.6,W-L,wins,58.333333333333336,6.575342465753424,75.0,1.095890410958904,55.0,5.47945205479452,0.005479452054794521,188.5958904109589
"(30,30,30,1.6,1.6,W-L,wins)",30,30,30,1.6,1.6,W-L,wins,70.37037037037037,7.397260273972603,72.72727272727273,3.0136986301369864,68.75,4.383561643835616,0.01369863013698631,184.83188044831883
"(30,30,30,1.2,1.2,W/T,earnings)",30,30,30,1.2,1.2,W/T,earnings,58.333333333333336,6.575342465753424,72.72727272727273,3.0136986301369864,46.15384615384615,3.5616438356164384,0.01369863013698631,184.83188044831883
"(30,30,30,1.2,1.2,W-L,earnings)",30,30,30,1.2,1.2,W-L,earnings,60.869565217391305,6.301369863013699,72.72727272727273,3.0136986301369864,50.0,3.287671232876712,0.01369863013698631,184.83188044831883
"(15,15,15,0.8,0.8,T/L,wins)",15,15,15,0.8,0.8,T/L,wins,60.37735849056604,14.52054794520548,68.75,8.767123287671232,47.61904761904762,5.753424657534247,0.03287671232876713,180.64212328767124
"(15,15,15,0.8,0.8,W/L,wins)",15,15,15,0.8,0.8,W/L,wins,60.37735849056604,14.52054794520548,68.75,8.767123287671232,47.61904761904762,5.753424657534247,0.03287671232876713,180.64212328767124
"(60,60,60,0.4,0.4,W/T,wins)",60,60,60,0.4,0.4,W/T,wins,46.07843137254902,55.89041095890411,69.23076923076923,7.123287671232877,42.69662921348315,48.76712328767123,0.0273972602739726,180.20021074815594
"(7,7,7,0.4,0.4,T/L,wins)",7,7,7,0.4,0.4,T/L,wins,55.70469798657718,40.821917808219176,57.98319327731093,32.602739726027394,46.66666666666666,8.219178082191782,0.052054794520547974,177.56072291930474
"(7,7,7,0.4,0.4,W/L,wins)",7,7,7,0.4,0.4,W/L,wins,55.70469798657718,40.821917808219176,57.98319327731093,32.602739726027394,46.66666666666666,8.219178082191782,0.052054794520547974,177.56072291930474
"(15,15,15,0.4,0.4,W/T,wins)",15,15,15,0.4,0.4,W/T,wins,50.93167701863354,44.10958904109589,66.66666666666667,9.863013698630136,46.4,34.24657534246575,0.032876712328767134,176.52968036529683
"(15,15,15,0.4,0.4,W/L,wins)",15,15,15,0.4,0.4,W/L,wins,50.0,46.02739726027397,65.85365853658537,11.232876712328768,44.881889763779526,34.794520547945204,0.0356164383561644,175.8670230537922
"(15,15,15,0.4,0.4,T/L,wins)",15,15,15,0.4,0.4,T/L,wins,50.0,46.02739726027397,65.85365853658537,11.232876712328768,44.881889763779526,34.794520547945204,0.0356164383561644,175.8670230537922
"(30,30,30,0.8,0.8,W-L,wins)",30,30,30,0.8,0.8,W-L,wins,53.52112676056338,19.45205479452055,66.66666666666667,7.397260273972603,45.45454545454545,12.054794520547944,0.024657534246575352,174.06392694063928
"(15,15,15,0.4,0.4,W-L,wins)",15,15,15,0.4,0.4,W-L,wins,50.0,44.93150684931507,64.86486486486487,10.136986301369864,45.669291338582674,34.794520547945204,0.030136986301369875,172.29914846353205
"(30,30,30,1.2,1.2,W/L,earnings)",30,30,30,1.2,1.2,W/L,earnings,61.90476190476191,5.753424657534247,66.66666666666667,3.287671232876712,55.55555555555556,2.4657534246575343,0.010958904109589045,169.9543378995434
"(30,30,30,1.2,1.2,T/L,earnings)",30,30,30,1.2,1.2,T/L,earnings,61.90476190476191,5.753424657534247,66.66666666666667,3.287671232876712,55.55555555555556,2.4657534246575343,0.010958904109589045,169.9543378995434
"(30,30,30,1.6,1.6,W-L,earnings)",30,30,30,1.6,1.6,W-L,earnings,62.5,4.383561643835616,66.66666666666667,2.4657534246575343,57.142857142857146,1.917808219178082,0.008219178082191785,169.1324200913242
"(30,30,30,1.6,1.6,T/L,earnings)",30,30,30,1.6,1.6,T/L,earnings,61.53846153846154,3.5616438356164384,66.66666666666667,2.4657534246575343,50.0,1.095890410958904,0.008219178082191785,169.1324200913242
