summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria2
"(7,7,7,0.8,0.8,W/L,wins)",7,7,7,0.8,0.8,W/L,wins,47.61904761904762,11.506849315068491,100.0,1.36986301369863,40.54054054054054,10.136986301369864,0.0136986301369863,251.36986301369862
"(7,7,7,0.8,0.8,T/L,wins)",7,7,7,0.8,0.8,T/L,wins,47.61904761904762,11.506849315068491,100.0,1.36986301369863,40.54054054054054,10.136986301369864,0.0136986301369863,251.36986301369862
"(7,7,7,1.6,1.6,T/L,wins)",7,7,7,1.6,1.6,T/L,wins,47.22222222222222,9.863013698630136,100.0,0.547945205479452,44.11764705882353,9.315068493150685,0.005479452054794521,250.54794520547946
"(7,7,7,1.6,1.6,W/L,wins)",7,7,7,1.6,1.6,W/L,wins,47.22222222222222,9.863013698630136,100.0,0.547945205479452,44.11764705882353,9.315068493150685,0.005479452054794521,250.54794520547946
"(7,7,7,1.2,1.2,W/L,wins)",7,7,7,1.2,1.2,W/L,wins,43.58974358974359,10.684931506849315,100.0,0.547945205479452,40.54054054054054,10.136986301369864,0.005479452054794521,250.54794520547946
"(7,7,7,1.2,1.2,T/L,wins)",7,7,7,1.2,1.2,T/L,wins,43.58974358974359,10.684931506849315,100.0,0.547945205479452,40.54054054054054,10.136986301369864,0.005479452054794521,250.54794520547946
"(7,7,7,0.8,0.8,W-L,wins)",7,7,7,0.8,0.8,W-L,wins,42.5,10.95890410958904,100.0,0.547945205479452,39.47368421052632,10.41095890410959,0.005479452054794521,250.54794520547946
"(60,60,60,1.2,1.2,W-L,wins)",60,60,60,1.2,1.2,W-L,wins,47.95918367346939,26.84931506849315,100.0,0.547945205479452,46.875,26.301369863013697,0.005479452054794521,250.54794520547946
"(7,7,7,1.2,1.2,T/L,earnings)",7,7,7,1.2,1.2,T/L,earnings,37.142857142857146,9.58904109589041,100.0,0.273972602739726,35.294117647058826,9.315068493150685,0.0027397260273972603,250.27397260273972
"(60,60,60,1.6,1.6,W-L,wins)",60,60,60,1.6,1.6,W-L,wins,46.774193548387096,16.986301369863014,100.0,0.273972602739726,45.90163934426229,16.71232876712329,0.0027397260273972603,250.27397260273972
"(7,7,7,1.2,1.2,W/L,earnings)",7,7,7,1.2,1.2,W/L,earnings,37.142857142857146,9.58904109589041,100.0,0.273972602739726,35.294117647058826,9.315068493150685,0.0027397260273972603,250.27397260273972
"(7,7,7,1.2,1.2,W-L,wins)",7,7,7,1.2,1.2,W-L,wins,41.02564102564103,10.684931506849315,100.0,0.273972602739726,39.47368421052632,10.41095890410959,0.0027397260273972603,250.27397260273972
"(7,7,7,1.2,1.2,W/T,earnings)",7,7,7,1.2,1.2,W/T,earnings,37.142857142857146,9.58904109589041,100.0,0.273972602739726,35.294117647058826,9.315068493150685,0.0027397260273972603,250.27397260273972
"(7,7,7,1.6,1.6,T/L,earnings)",7,7,7,1.6,1.6,T/L,earnings,37.03703703703704,7.397260273972603,100.0,0.273972602739726,34.61538461538461,7.123287671232877,0.0027397260273972603,250.27397260273972
"(7,7,7,1.6,1.6,W/T,earnings)",7,7,7,1.6,1.6,W/T,earnings,37.03703703703704,7.397260273972603,100.0,0.273972602739726,34.61538461538461,7.123287671232877,0.0027397260273972603,250.27397260273972
"(7,7,7,1.2,1.2,W/T,wins)",7,7,7,1.2,1.2,W/T,wins,41.02564102564103,10.684931506849315,100.0,0.273972602739726,39.47368421052632,10.41095890410959,0.0027397260273972603,250.27397260273972
"(7,7,7,0.8,0.8,W/T,earnings)",7,7,7,0.8,0.8,W/T,earnings,38.095238095238095,11.506849315068491,100.0,0.273972602739726,36.58536585365854,11.232876712328768,0.0027397260273972603,250.27397260273972
"(7,7,7,1.6,1.6,W/L,earnings)",7,7,7,1.6,1.6,W/L,earnings,37.03703703703704,7.397260273972603,100.0,0.273972602739726,34.61538461538461,7.123287671232877,0.0027397260273972603,250.27397260273972
"(7,7,7,1.6,1.6,W-L,earnings)",7,7,7,1.6,1.6,W-L,earnings,37.03703703703704,7.397260273972603,100.0,0.273972602739726,34.61538461538461,7.123287671232877,0.0027397260273972603,250.27397260273972
"(7,7,7,1.6,1.6,W/T,wins)",7,7,7,1.6,1.6,W/T,wins,44.44444444444444,9.863013698630136,100.0,0.273972602739726,42.85714285714285,9.58904109589041,0.0027397260273972603,250.27397260273972
"(7,7,7,0.8,0.8,W/T,wins)",7,7,7,0.8,0.8,W/T,wins,41.02564102564103,10.684931506849315,100.0,0.273972602739726,39.47368421052632,10.41095890410959,0.0027397260273972603,250.27397260273972
"(7,7,7,1.2,1.2,W-L,earnings)",7,7,7,1.2,1.2,W-L,earnings,37.142857142857146,9.58904109589041,100.0,0.273972602739726,35.294117647058826,9.315068493150685,0.0027397260273972603,250.27397260273972
"(15,15,15,1.6,1.6,W/T,wins)",15,15,15,1.6,1.6,W/T,wins,58.97435897435897,10.684931506849315,81.81818181818181,3.0136986301369864,50.0,7.671232876712328,0.01917808219178082,207.55915317559152
"(7,7,7,0.4,0.4,W-L,wins)",7,7,7,0.4,0.4,W-L,wins,54.58015267175573,71.78082191780823,57.142857142857146,61.36986301369863,39.47368421052632,10.41095890410959,0.08767123287671243,204.22700587084148
"(15,15,15,1.2,1.2,W-L,wins)",15,15,15,1.2,1.2,W-L,wins,60.71428571428572,15.342465753424657,78.26086956521739,6.301369863013699,48.48484848484848,9.04109589041096,0.03561643835616439,201.95354377605716
"(15,15,15,1.6,1.6,W-L,wins)",15,15,15,1.6,1.6,W-L,wins,62.5,10.95890410958904,78.57142857142857,3.835616438356164,53.84615384615385,7.123287671232877,0.021917808219178082,200.26418786692759
"(15,15,15,1.2,1.2,W/T,wins)",15,15,15,1.2,1.2,W/T,wins,58.18181818181818,15.068493150684931,76.19047619047619,5.753424657534247,47.05882352941177,9.315068493150685,0.03013698630136986,196.22961513372474
"(15,15,15,1.2,1.2,W/L,wins)",15,15,15,1.2,1.2,W/L,wins,59.09090909090909,12.054794520547944,72.0,6.849315068493151,42.10526315789474,5.205479452054795,0.030136986301369864,186.84931506849315
"(15,15,15,1.2,1.2,T/L,wins)",15,15,15,1.2,1.2,T/L,wins,59.09090909090909,12.054794520547944,72.0,6.849315068493151,42.10526315789474,5.205479452054795,0.030136986301369864,186.84931506849315
"(15,15,15,0.8,0.8,W/T,wins)",15,15,15,0.8,0.8,W/T,wins,57.333333333333336,20.54794520547945,71.42857142857143,7.671232876712328,48.93617021276596,12.876712328767123,0.03287671232876713,186.24266144814092
"(60,60,60,0.4,0.4,W/L,wins)",60,60,60,0.4,0.4,W/L,wins,47.6,68.4931506849315,69.76744186046511,11.780821917808218,42.99516908212561,56.71232876712329,0.04657534246575342,186.199426568971
"(60,60,60,0.4,0.4,T/L,wins)",60,60,60,0.4,0.4,T/L,wins,47.6,68.4931506849315,69.76744186046511,11.780821917808218,42.99516908212561,56.71232876712329,0.04657534246575342,186.199426568971
"(15,15,15,0.4,0.4,W/T,wins)",15,15,15,0.4,0.4,W/T,wins,52.980132450331126,41.36986301369863,67.44186046511628,11.780821917808218,47.22222222222222,29.58904109589041,0.041095890410958895,180.38547308059893
"(15,15,15,0.8,0.8,W-L,wins)",15,15,15,0.8,0.8,W-L,wins,56.09756097560975,22.46575342465753,68.96551724137932,7.945205479452055,49.0566037735849,14.52054794520548,0.030136986301369868,180.35899858290034
"(60,60,60,0.4,0.4,W-L,wins)",60,60,60,0.4,0.4,W-L,wins,43.41085271317829,70.68493150684931,69.56521739130434,6.301369863013699,40.85106382978724,64.38356164383562,0.024657534246575342,180.21441334127456
"(15,15,15,0.8,0.8,T/L,wins)",15,15,15,0.8,0.8,T/L,wins,58.97435897435897,21.36986301369863,67.5,10.95890410958904,50.0,10.41095890410959,0.03835616438356165,179.70890410958904
"(15,15,15,0.8,0.8,W/L,wins)",15,15,15,0.8,0.8,W/L,wins,58.97435897435897,21.36986301369863,67.5,10.95890410958904,50.0,10.41095890410959,0.03835616438356165,179.70890410958904
"(15,15,15,0.4,0.4,W-L,wins)",15,15,15,0.4,0.4,W-L,wins,51.67785234899329,40.821917808219176,65.9090909090909,12.054794520547944,45.71428571428572,28.767123287671232,0.03835616438356163,176.8275217932752
"(60,60,60,0.4,0.4,W/T,wins)",60,60,60,0.4,0.4,W/T,wins,42.91497975708502,67.67123287671232,68.18181818181819,6.027397260273973,40.44444444444444,61.64383561643836,0.02191780821917809,176.48194271481944
"(60,60,60,0.8,0.8,W/L,wins)",60,60,60,0.8,0.8,W/L,wins,48.54368932038835,28.21917808219178,66.66666666666667,7.397260273972603,42.10526315789474,20.82191780821918,0.024657534246575352,174.06392694063928
"(60,60,60,0.8,0.8,T/L,wins)",60,60,60,0.8,0.8,T/L,wins,48.54368932038835,28.21917808219178,66.66666666666667,7.397260273972603,42.10526315789474,20.82191780821918,0.024657534246575352,174.06392694063928
"(7,7,7,0.4,0.4,T/L,wins)",7,7,7,0.4,0.4,T/L,wins,53.211009174311926,29.863013698630137,60.563380281690144,19.45205479452055,39.47368421052632,10.41095890410959,0.041095890410958937,170.8605054987459
"(7,7,7,0.4,0.4,W/L,wins)",7,7,7,0.4,0.4,W/L,wins,53.211009174311926,29.863013698630137,60.563380281690144,19.45205479452055,39.47368421052632,10.41095890410959,0.041095890410958937,170.8605054987459
"(60,60,60,0.8,0.8,W-L,wins)",60,60,60,0.8,0.8,W-L,wins,41.358024691358025,44.38356164383562,66.66666666666667,1.643835616438356,40.38461538461539,42.73972602739726,0.005479452054794522,168.31050228310505
"(60,60,60,0.8,0.8,W/T,wins)",60,60,60,0.8,0.8,W/T,wins,43.16546762589928,38.08219178082192,66.66666666666667,1.643835616438356,42.10526315789474,36.43835616438356,0.005479452054794522,168.31050228310505
"(15,15,15,1.6,1.6,W/L,wins)",15,15,15,1.6,1.6,W/L,wins,60.71428571428572,7.671232876712328,64.70588235294117,4.657534246575342,54.54545454545455,3.0136986301369864,0.013698630136986306,166.42224012892828
"(15,15,15,1.6,1.6,T/L,wins)",15,15,15,1.6,1.6,T/L,wins,60.71428571428572,7.671232876712328,64.70588235294117,4.657534246575342,54.54545454545455,3.0136986301369864,0.013698630136986306,166.42224012892828
"(7,7,7,0.4,0.4,W/T,wins)",7,7,7,0.4,0.4,W/T,wins,51.42857142857143,28.767123287671232,59.09090909090909,18.08219178082192,38.46153846153846,10.684931506849315,0.032876712328767134,165.80946450809466
"(60,60,60,0.4,0.4,W/T,earnings)",60,60,60,0.4,0.4,W/T,earnings,48.19277108433735,22.73972602739726,64.28571428571429,3.835616438356164,44.927536231884055,18.90410958904109,0.010958904109589045,164.5499021526419
"(60,60,60,0.4,0.4,T/L,earnings)",60,60,60,0.4,0.4,T/L,earnings,46.57534246575342,20.0,64.28571428571429,3.835616438356164,42.3728813559322,16.164383561643834,0.010958904109589045,164.5499021526419
"(60,60,60,0.4,0.4,W/L,earnings)",60,60,60,0.4,0.4,W/L,earnings,46.57534246575342,20.0,64.28571428571429,3.835616438356164,42.3728813559322,16.164383561643834,0.010958904109589045,164.5499021526419
"(60,60,60,0.4,0.4,W-L,earnings)",60,60,60,0.4,0.4,W-L,earnings,47.945205479452056,20.0,64.28571428571429,3.835616438356164,44.067796610169495,16.164383561643834,0.010958904109589045,164.5499021526419
"(15,15,15,0.4,0.4,T/L,wins)",15,15,15,0.4,0.4,T/L,wins,49.41860465116279,47.12328767123287,59.25925925925926,14.794520547945206,44.91525423728814,32.32876712328767,0.027397260273972594,162.94266869609336
"(15,15,15,0.4,0.4,W/L,wins)",15,15,15,0.4,0.4,W/L,wins,49.41860465116279,47.12328767123287,59.25925925925926,14.794520547945206,44.91525423728814,32.32876712328767,0.027397260273972594,162.94266869609336
