,summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria
73,"(30,30,30,0.4,0.4,W/L,wins)",30,30,30,0.4,0.4,W/L,wins,50.71090047393365,57.80821917808219,55.625,43.83561643835616,35.294117647058826,13.972602739726028,11835.616438356165
22,"(7,7,7,1.2,1.2,W/T,earnings)",7,7,7,1.2,1.2,W/T,earnings,71.42857142857143,11.506849315068493,71.42857142857143,11.506849315068493,,0.0,11835.616438356165
45,"(15,15,15,0.4,0.4,W/T,earnings)",15,15,15,0.4,0.4,W/T,earnings,48.828125,70.13698630136986,55.625,43.83561643835616,37.5,26.301369863013697,11835.616438356165
32,"(15,15,15,0.4,0.4,W/L,earnings)",15,15,15,0.4,0.4,W/L,earnings,49.1869918699187,67.3972602739726,55.69620253164557,43.28767123287671,37.5,24.10958904109589,11835.61643835616
47,"(15,15,15,0.4,0.4,T/L,earnings)",15,15,15,0.4,0.4,T/L,earnings,49.1869918699187,67.3972602739726,55.69620253164557,43.28767123287671,37.5,24.10958904109589,11835.61643835616
15,"(7,7,7,1.2,1.2,W/T,wins)",7,7,7,1.2,1.2,W/T,wins,70.73170731707317,11.232876712328768,70.73170731707317,11.232876712328768,,0.0,11178.082191780823
13,"(7,7,7,1.2,1.2,W-L,wins)",7,7,7,1.2,1.2,W-L,wins,69.76744186046511,11.780821917808218,69.76744186046511,11.780821917808218,,0.0,11178.08219178082
19,"(7,7,7,1.2,1.2,W-L,earnings)",7,7,7,1.2,1.2,W-L,earnings,69.76744186046511,11.780821917808218,69.76744186046511,11.780821917808218,,0.0,11178.08219178082
43,"(15,15,15,0.4,0.4,W-L,wins)",15,15,15,0.4,0.4,W-L,wins,49.392712550607285,67.67123287671232,55.27950310559006,44.10958904109589,38.372093023255815,23.561643835616437,11178.082191780815
31,"(7,7,7,1.6,1.6,W-L,wins)",7,7,7,1.6,1.6,W-L,wins,71.05263157894737,10.41095890410959,71.05263157894737,10.41095890410959,,0.0,10520.54794520548
9,"(7,7,7,1.2,1.2,T/L,earnings)",7,7,7,1.2,1.2,T/L,earnings,70.0,10.95890410958904,70.0,10.95890410958904,,0.0,10520.547945205479
16,"(7,7,7,1.2,1.2,W/L,earnings)",7,7,7,1.2,1.2,W/L,earnings,70.0,10.95890410958904,70.0,10.95890410958904,,0.0,10520.547945205479
120,"(60,60,60,0.4,0.4,T/L,wins)",60,60,60,0.4,0.4,T/L,wins,51.282051282051285,42.73972602739726,56.34920634920635,34.52054794520548,30.0,8.219178082191782,10520.547945205477
107,"(60,60,60,0.4,0.4,W/L,wins)",60,60,60,0.4,0.4,W/L,wins,51.282051282051285,42.73972602739726,56.34920634920635,34.52054794520548,30.0,8.219178082191782,10520.547945205477
30,"(7,7,7,1.6,1.6,W/T,wins)",7,7,7,1.6,1.6,W/T,wins,72.72727272727273,9.04109589041096,72.72727272727273,9.04109589041096,,0.0,9863.01369863014
