,summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria
0,"(7,7,7,0.4,0.4,W/L,earnings)",7,7,7,0.4,0.4,W/L,earnings,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,11178.08219178082
10,"(7,7,7,0.8,0.8,W-L,earnings)",7,7,7,0.8,0.8,W-L,earnings,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,11178.08219178082
1,"(7,7,7,0.8,0.8,T/L,wins)",7,7,7,0.8,0.8,T/L,wins,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,11178.08219178082
25,"(7,7,7,0.8,0.8,W/T,earnings)",7,7,7,0.8,0.8,W/T,earnings,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,11178.08219178082
21,"(7,7,7,0.8,0.8,W/T,wins)",7,7,7,0.8,0.8,W/T,wins,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,11178.08219178082
17,"(7,7,7,0.4,0.4,T/L,earnings)",7,7,7,0.4,0.4,T/L,earnings,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,11178.08219178082
16,"(7,7,7,0.8,0.8,W/L,earnings)",7,7,7,0.8,0.8,W/L,earnings,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,11178.08219178082
12,"(7,7,7,0.8,0.8,W-L,wins)",7,7,7,0.8,0.8,W-L,wins,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,11178.08219178082
11,"(7,7,7,0.8,0.8,W/L,wins)",7,7,7,0.8,0.8,W/L,wins,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,11178.08219178082
24,"(7,7,7,0.8,0.8,T/L,earnings)",7,7,7,0.8,0.8,T/L,earnings,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,11178.08219178082
3,"(7,7,7,0.4,0.4,W-L,earnings)",7,7,7,0.4,0.4,W-L,earnings,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,11178.08219178082
7,"(7,7,7,0.4,0.4,W/T,earnings)",7,7,7,0.4,0.4,W/T,earnings,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,11178.08219178082
2,"(7,7,7,0.4,0.4,T/L,wins)",7,7,7,0.4,0.4,T/L,wins,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,11178.08219178082
6,"(7,7,7,0.4,0.4,W-L,wins)",7,7,7,0.4,0.4,W-L,wins,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,11178.08219178082
8,"(7,7,7,0.4,0.4,W/T,wins)",7,7,7,0.4,0.4,W/T,wins,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,11178.08219178082
4,"(7,7,7,0.4,0.4,W/L,wins)",7,7,7,0.4,0.4,W/L,wins,68.08510638297872,12.876712328767123,68.08510638297872,12.876712328767123,,0.0,11178.08219178082
81,"(30,30,30,0.4,0.4,W/T,wins)",30,30,30,0.4,0.4,W/T,wins,60.317460317460316,17.26027397260274,60.317460317460316,17.26027397260274,,0.0,8547.945205479451
115,"(60,60,60,0.4,0.4,W/T,wins)",60,60,60,0.4,0.4,W/T,wins,64.28571428571429,11.506849315068493,64.28571428571429,11.506849315068493,,0.0,7890.410958904113
9,"(7,7,7,1.2,1.2,T/L,wins)",7,7,7,1.2,1.2,T/L,wins,70.0,8.219178082191782,70.0,8.219178082191782,,0.0,7890.410958904112
31,"(7,7,7,1.6,1.6,W/L,wins)",7,7,7,1.6,1.6,W/L,wins,70.0,8.219178082191782,70.0,8.219178082191782,,0.0,7890.410958904112
30,"(7,7,7,1.6,1.6,W-L,wins)",7,7,7,1.6,1.6,W-L,wins,70.0,8.219178082191782,70.0,8.219178082191782,,0.0,7890.410958904112
28,"(7,7,7,1.6,1.6,W-L,earnings)",7,7,7,1.6,1.6,W-L,earnings,70.0,8.219178082191782,70.0,8.219178082191782,,0.0,7890.410958904112
27,"(7,7,7,1.6,1.6,W/L,earnings)",7,7,7,1.6,1.6,W/L,earnings,70.0,8.219178082191782,70.0,8.219178082191782,,0.0,7890.410958904112
26,"(7,7,7,1.6,1.6,W/T,wins)",7,7,7,1.6,1.6,W/T,wins,70.0,8.219178082191782,70.0,8.219178082191782,,0.0,7890.410958904112
29,"(7,7,7,1.2,1.2,W/T,earnings)",7,7,7,1.2,1.2,W/T,earnings,70.0,8.219178082191782,70.0,8.219178082191782,,0.0,7890.410958904112
13,"(7,7,7,1.2,1.2,W/L,wins)",7,7,7,1.2,1.2,W/L,wins,70.0,8.219178082191782,70.0,8.219178082191782,,0.0,7890.410958904112
22,"(7,7,7,1.6,1.6,T/L,wins)",7,7,7,1.6,1.6,T/L,wins,70.0,8.219178082191782,70.0,8.219178082191782,,0.0,7890.410958904112
20,"(7,7,7,1.2,1.2,T/L,earnings)",7,7,7,1.2,1.2,T/L,earnings,70.0,8.219178082191782,70.0,8.219178082191782,,0.0,7890.410958904112
19,"(7,7,7,1.6,1.6,T/L,earnings)",7,7,7,1.6,1.6,T/L,earnings,70.0,8.219178082191782,70.0,8.219178082191782,,0.0,7890.410958904112
18,"(7,7,7,1.2,1.2,W/T,wins)",7,7,7,1.2,1.2,W/T,wins,70.0,8.219178082191782,70.0,8.219178082191782,,0.0,7890.410958904112
5,"(7,7,7,1.2,1.2,W-L,earnings)",7,7,7,1.2,1.2,W-L,earnings,70.0,8.219178082191782,70.0,8.219178082191782,,0.0,7890.410958904112
15,"(7,7,7,1.2,1.2,W/L,earnings)",7,7,7,1.2,1.2,W/L,earnings,70.0,8.219178082191782,70.0,8.219178082191782,,0.0,7890.410958904112
