summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria,criteria2
"(7,7,7,1.6,1.6,T/L,wins)",7,7,7,1.6,1.6,T/L,wins,74.19354838709677,8.493150684931507,78.57142857142857,7.671232876712328,33.333333333333336,0.821917808219178,0.043835616438356165,204.09980430528375
"(7,7,7,1.6,1.6,W/L,wins)",7,7,7,1.6,1.6,W/L,wins,74.19354838709677,8.493150684931507,78.57142857142857,7.671232876712328,33.333333333333336,0.821917808219178,0.043835616438356165,204.09980430528375
"(7,7,7,1.6,1.6,W-L,wins)",7,7,7,1.6,1.6,W-L,wins,78.125,8.767123287671232,78.125,8.767123287671232,,0.0,0.049315068493150684,204.07962328767124
"(7,7,7,1.6,1.6,W/T,wins)",7,7,7,1.6,1.6,W/T,wins,72.5,10.95890410958904,77.41935483870968,8.493150684931507,55.55555555555556,2.4657534246575343,0.04657534246575344,202.0415377817057
"(7,7,7,1.2,1.2,W/T,earnings)",7,7,7,1.2,1.2,W/T,earnings,69.23076923076923,10.684931506849315,76.66666666666667,8.219178082191782,44.44444444444444,2.4657534246575343,0.04383561643835618,199.88584474885846
"(7,7,7,1.2,1.2,T/L,earnings)",7,7,7,1.2,1.2,T/L,earnings,71.05263157894737,10.41095890410959,76.66666666666667,8.219178082191782,50.0,2.191780821917808,0.04383561643835618,199.88584474885846
"(7,7,7,1.2,1.2,W/L,earnings)",7,7,7,1.2,1.2,W/L,earnings,71.05263157894737,10.41095890410959,76.66666666666667,8.219178082191782,50.0,2.191780821917808,0.04383561643835618,199.88584474885846
"(7,7,7,1.2,1.2,W-L,earnings)",7,7,7,1.2,1.2,W-L,earnings,69.23076923076923,10.684931506849315,76.66666666666667,8.219178082191782,44.44444444444444,2.4657534246575343,0.04383561643835618,199.88584474885846
"(7,7,7,1.2,1.2,W/L,wins)",7,7,7,1.2,1.2,W/L,wins,73.33333333333333,12.32876712328767,75.67567567567568,10.136986301369864,62.5,2.191780821917808,0.05205479452054796,199.32617549055905
"(7,7,7,1.2,1.2,T/L,wins)",7,7,7,1.2,1.2,T/L,wins,73.33333333333333,12.32876712328767,75.67567567567568,10.136986301369864,62.5,2.191780821917808,0.05205479452054796,199.32617549055905
"(7,7,7,1.2,1.2,W-L,wins)",7,7,7,1.2,1.2,W-L,wins,73.6842105263158,10.41095890410959,73.6842105263158,10.41095890410959,,0.0,0.049315068493150704,194.62148521989906
"(7,7,7,0.4,0.4,W-L,earnings)",7,7,7,0.4,0.4,W-L,earnings,64.78873239436619,19.45205479452055,72.34042553191489,12.876712328767123,50.0,6.575342465753424,0.05753424657534245,193.72777615855435
"(7,7,7,0.4,0.4,W/T,earnings)",7,7,7,0.4,0.4,W/T,earnings,65.21739130434783,18.90410958904109,72.34042553191489,12.876712328767123,50.0,6.027397260273973,0.05753424657534245,193.72777615855435
"(15,15,15,0.4,0.4,W/T,wins)",15,15,15,0.4,0.4,W/T,wins,54.16666666666666,65.75342465753425,65.13761467889908,29.863013698630137,45.038167938931295,35.89041095890411,0.09041095890410958,192.70705039587784
"(7,7,7,0.8,0.8,W/T,earnings)",7,7,7,0.8,0.8,W/T,earnings,65.51724137931035,15.89041095890411,72.09302325581395,11.780821917808218,46.66666666666666,4.109589041095891,0.052054794520547926,192.01338005734308
"(7,7,7,0.4,0.4,W/L,earnings)",7,7,7,0.4,0.4,W/L,earnings,64.17910447761194,18.356164383561644,71.73913043478261,12.602739726027398,47.61904761904762,5.753424657534247,0.0547945205479452,191.95056581298394
"(7,7,7,0.4,0.4,T/L,earnings)",7,7,7,0.4,0.4,T/L,earnings,64.17910447761194,18.356164383561644,71.73913043478261,12.602739726027398,47.61904761904762,5.753424657534247,0.0547945205479452,191.95056581298394
"(7,7,7,1.2,1.2,W/T,wins)",7,7,7,1.2,1.2,W/T,wins,69.23076923076923,14.246575342465754,71.7948717948718,10.684931506849315,61.53846153846154,3.5616438356164384,0.04657534246575343,190.17211099402883
